tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"evosuite","GUAVA-118",120,10,129.9796,0.70526314,0.6,0.7272727
"evosuite","GUAVA-118",300,10,300.4264,0.70263156,0.5875,0.7272727
"evosuite","GUAVA-128",30,10,29.5384,0.91936619,0.8,0
"evosuite","GUAVA-128",120,10,108.5893,0.940140845,0.817567556,0
"evosuite","GUAVA-128",300,10,216.6741,0.957042267,0.859459478,0
"evosuite","GUAVA-134",30,10,37.3239,0.0333333328,0.0325,0.0025974026
"evosuite","GUAVA-134",120,10,117.6469,0.0218390799,0.0025,0.0116883117
"evosuite","GUAVA-134",300,10,237.7747,0.0402298866,0.0125,0.0103896104
"evosuite","GUAVA-148",30,10,28.2706,0.934615396,0.85833334,0.94893617
"evosuite","GUAVA-148",120,10,81.0922,0.951923108,0.89583336,0.968085105
"evosuite","GUAVA-148",300,10,185.2144,0.96346157,0.92083336,0.98085106
"evosuite","GUAVA-156",30,10,28.5546,0.99278349,0.98970587,0.99374998
"evosuite","GUAVA-156",120,10,84.6514,0.99896907,0.99852941,0.99910714
"evosuite","GUAVA-156",300,10,229.8385,0.9,0.9,0.9
"evosuite","GUAVA-181",30,10,28.3859,0,0,0
"evosuite","GUAVA-181",120,10,85.9155,1,1,1
"evosuite","GUAVA-181",300,10,189.1636,1,1,1
"evosuite","GUAVA-192",30,10,29.0865,0.262867651,0.197402595,0.279591827
"evosuite","GUAVA-192",120,10,99.4567,0.560294114,0.427272731,0.59693878
"evosuite","GUAVA-192",300,10,206.7359,0.607720581,0.474025988,0.655612222
"evosuite","GUAVA-199",30,10,33.1296,0.853333326,0.760000006,0.827272716
"evosuite","GUAVA-199",120,10,120.7915,0.863333332,0.780000004,0.824242416
"evosuite","GUAVA-199",300,10,302.2106,0.813333334,0.77,0.763636364
"evosuite","GUAVA-200",30,10,31.7212,0.519708028,0.480555551,0.346268672
"evosuite","GUAVA-200",120,10,111.0124,0.510218973,0.444444452,0.06119403
"evosuite","GUAVA-200",300,10,311.2336,0.405109479,0.413888892,0
"evosuite","GUAVA-213",30,10,32.3924,1,1,1
"evosuite","GUAVA-213",120,10,132.7464,0.69821429,0.7,0.7
"evosuite","GUAVA-213",300,10,342.7467,0.19821429,0.19705882,0.19855073
"evosuite","GUAVA-226",30,10,31.2967,0.686363646,0.54,0.757692296
"evosuite","GUAVA-226",120,10,111.5881,0.75909088,0.660000008,0.82692307
"evosuite","GUAVA-226",300,10,332.2163,0.573863624,0.54,0.63846153
"evosuite","GUAVA-227",30,10,28.4478,0.5,0.5,0
"evosuite","GUAVA-227",120,10,93.5906,1,0.875,0
"evosuite","GUAVA-227",300,10,215.9594,1,0.975,0
"evosuite","GUAVA-231",30,10,28.5286,0.9,0.925,0.848275874
"evosuite","GUAVA-231",120,10,88.0949,0.854,0.8875,0.817241382
"evosuite","GUAVA-231",300,10,193.6121,0.888,0.9125,0.834482764
"evosuite","GUAVA-232",30,10,32.0934,0.88928571,0.80333331,0.876344072
"evosuite","GUAVA-232",120,10,141.3977,0.732857144,0.664999984,0.707526864
"evosuite","GUAVA-232",300,10,289.1058,0.829999998,0.756666658,0.79892472
"evosuite","GUAVA-237",30,10,28.7007,1,0.956666648,0
"evosuite","GUAVA-237",120,10,81.1571,0.8,0.76333332,0.1
"evosuite","GUAVA-237",300,10,153.0612,0.3,0.289999992,0
"evosuite","GUAVA-254",30,10,28.4852,0,0,0
"evosuite","GUAVA-254",120,10,83.2638,1,1,1
"evosuite","GUAVA-254",300,10,188.6661,1,1,1
"evosuite","GUAVA-267",30,10,28.8662,0.918110241,0.89692309,0.9375
"evosuite","GUAVA-267",120,10,108.6674,0.96141733,0.94615383,0.98125
"evosuite","GUAVA-267",300,10,217.3454,0.965354346,0.95846152,0.98375
"evosuite","GUAVA-273",30,10,37.1677,0.46328125,0.320370373,0.044444447
"evosuite","GUAVA-273",120,10,100.8896,0.4859375,0.314814815,0.098412705
"evosuite","GUAVA-273",300,10,201.0504,0.64140625,0.490740749,0
"evosuite","GUAVA-46",30,10,46.4959,0,0,0
"evosuite","GUAVA-46",120,10,98.3845,0.1783018902,0.0773584915,0.1635416627
"evosuite","GUAVA-46",300,10,205.8011,0.264150939,0.1377358528,0.262499999
"evosuite","GUAVA-61",30,10,32.6635,0.96629211,0.934545436,0
"evosuite","GUAVA-61",120,10,119.0309,0.982022454,0.962727274,0
"evosuite","GUAVA-61",300,10,265.9927,0.986516822,0.98909092,0
"evosuite","GUAVA-71",30,10,28.3865,1,1,0
"evosuite","GUAVA-71",120,10,81.1663,1,1,0
"evosuite","GUAVA-71",300,10,184.309,1,1,0
"evosuite","GUAVA-82",30,10,29.0115,1,1,0.9
"evosuite","GUAVA-82",120,10,98.8399,0.9902912,1,1
"evosuite","GUAVA-82",300,10,204.5329,0.98834947,0.995588234,0.9962406
"evosuite","GUAVA-96",30,10,29.0543,0.576282051,0.56666666,0
"evosuite","GUAVA-96",120,10,107.8171,0.682692309,0.66969698,0.15
"evosuite","GUAVA-96",300,10,218.7466,0.686538463,0.69090908,0.227027022
"kex","GUAVA-108",30,10,16.9455,0.095867767,0.0479591848,0.019834709
"kex","GUAVA-108",120,8,15.98975,0.08161156875,0.038265306,0.01239669375
"kex","GUAVA-11",30,10,16.1074,0.4680851,0.4117647,0.58536583
"kex","GUAVA-11",120,8,16.94975,0.4680851,0.4117647,0.58536583
"kex","GUAVA-118",30,10,1.7858,0,0,0
"kex","GUAVA-118",120,8,1.809125,0,0,0
"kex","GUAVA-128",30,10,23.7714,0.5669014,0.013513514,0
"kex","GUAVA-128",120,9,23.301,0.5669014,0.013513514,0
"kex","GUAVA-134",30,10,10.7176,0.022988505,0,0.012987013
"kex","GUAVA-134",120,8,10.7045,0.022988505,0,0.012987013
"kex","GUAVA-148",30,10,5.7765,0.23076923,0.04166667,0.12765958
"kex","GUAVA-148",120,6,5.74066666666667,0.23076923,0.04166667,0.12765958
"kex","GUAVA-156",30,9,32.8978888888889,0.020618556,0,0.008928572
"kex","GUAVA-156",120,8,95.28875,0.20618556,0.139705885,0.21428571
"kex","GUAVA-181",30,10,14.193,0.7068965,0.6470589,0.9215686
"kex","GUAVA-181",120,9,15.0417777777778,0.7068965,0.6470589,0.9215686
"kex","GUAVA-192",30,8,31.41525,0.0036764705,0,0
"kex","GUAVA-192",120,10,47.997,0.0036764705,0,0
