tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"evosuite","FESCAR-10",60,10,40.9725,0.8,0.8,0.8
"evosuite","FESCAR-10",180,10,110.8074,0.9,0.9,0.9
"evosuite","FESCAR-12",60,10,47.664,1,0.875,1
"evosuite","FESCAR-12",180,10,116.9428,1,0.875,1
"evosuite","FESCAR-13",60,10,41.0052,1,1,1
"evosuite","FESCAR-13",180,10,110.8812,1,1,1
"evosuite","FESCAR-15",60,10,61.2076,0.008196721,0,0
"evosuite","FESCAR-15",180,10,189.0715,0.0065573768,0,0
"evosuite","FESCAR-17",60,10,51.3193,0.99444444,1,0.9
"evosuite","FESCAR-17",180,10,121.9644,0.99444444,1,0.9
"evosuite","FESCAR-2",60,10,61.2431,0.205263153,0,0
"evosuite","FESCAR-2",180,10,127.9572,0.25789473,0,0
"evosuite","FESCAR-23",60,10,52.9153,0.9047619,0.76428572,0
"evosuite","FESCAR-23",180,10,106.1285,0.604761902,0.5,0
"evosuite","FESCAR-25",60,10,66.4002,0.46875,0.625,0.22222223
"evosuite","FESCAR-25",180,10,160.4564,0.375,0.4875,0.177777784
"evosuite","FESCAR-28",60,10,40.9093,0.9,0.9,0.9
"evosuite","FESCAR-28",180,10,110.849,1,1,1
"evosuite","FESCAR-32",60,10,55.584,0.976923064,0.94375,0.952173932
"evosuite","FESCAR-32",180,10,124.7941,0.89230768,0.875,0.782608704
"evosuite","FESCAR-33",60,10,41.0248,1,1,1
"evosuite","FESCAR-33",180,10,110.8742,1,1,1
"evosuite","FESCAR-34",60,10,40.9732,0.9,0.9,0.9
"evosuite","FESCAR-34",180,10,110.8383,1,1,1
"evosuite","FESCAR-37",60,10,55.6777,0.9244681,0.86764706,0
"evosuite","FESCAR-37",180,10,142.8679,0.945744715,0.9117647,0
"evosuite","FESCAR-41",60,10,63.5739,0.017391304,0.020408163,0
"evosuite","FESCAR-41",180,10,175.6763,0.017391304,0.020408163,0.023529413
"evosuite","FESCAR-42",60,10,68.4775,0.242647061,0.1178571488,0.120833343
"evosuite","FESCAR-42",180,10,178.5662,0.426470593,0.27142858,0.254166662
"evosuite","FESCAR-5",60,10,49.7697,0.986363632,0.96,0.99230769
"evosuite","FESCAR-5",180,10,134.2403,0.990909088,0.98,1
"evosuite","FESCAR-6",60,10,63.5302,0.033519554,0.027027028,0
"evosuite","FESCAR-6",180,10,175.8131,0.033519554,0.027027028,0.027027028
"evosuite","FESCAR-7",60,10,55.8144,0.760769253,0.7328125,0
"evosuite","FESCAR-7",180,10,127.926,0.78153847,0.771875,0
"evosuite","FESCAR-8",60,10,67.0027,0.573333336,0.50833334,0
"evosuite","FESCAR-8",180,10,178.4898,0.620000002,0.575000006,0
"evosuite","FESCAR-9",60,10,53.3224,0.989999992,1,0.990909096
"evosuite","FESCAR-9",180,10,124.8642,0.983333328,1,0.981818192
"evosuite","GUAVA-102",60,10,51.8523,0.29354839356,0.1289473666,0.191803282
"evosuite","GUAVA-102",180,10,131.8249,0.323387106,0.1157894703,0.14754098
"evosuite","GUAVA-110",60,10,55.4527,0.030434782,0,0.00625
"evosuite","GUAVA-110",180,10,133.4072,0.221739126,0.075,0.15
"evosuite","GUAVA-128",60,10,47.3965,0.751086936,0.757894734,0.80975608
"evosuite","GUAVA-128",180,10,115.8602,0.249999996,0.252631578,0.26829268
"evosuite","GUAVA-129",60,10,66.9878,0.31935483,0.374999976,0.35
"evosuite","GUAVA-129",180,10,162.0954,0.358064505,0.424999976,0.4375
"evosuite","GUAVA-159",60,10,41.0651,1,1,0.5
"evosuite","GUAVA-159",180,10,111.0292,1,1,0.5
"evosuite","GUAVA-169",60,10,55.7486,0.961886815,0.942222185,0.992253565
"evosuite","GUAVA-169",180,10,131.6481,0.866792475,0.85333329,0.892957785
"evosuite","GUAVA-177",60,10,53.8451,0.9865385,0.99310344,1
"evosuite","GUAVA-177",180,10,127.4231,0.9846154,0.99310344,1
"evosuite","GUAVA-181",60,10,45.0114,1,1,1
"evosuite","GUAVA-181",180,10,113.5833,1,1,1
"evosuite","GUAVA-184",60,10,41.0265,1,1,1
"evosuite","GUAVA-184",180,10,110.8738,1,1,1
"evosuite","GUAVA-196",60,10,43.5604,0.715000016,0.775,0.88
"evosuite","GUAVA-196",180,10,115.4911,0.70000002,0.75,0.880000004
"evosuite","GUAVA-2",60,10,50.6605,0.1386792438,0.0641509434,0.1645833352
"evosuite","GUAVA-2",180,10,132.4576,0.2245283008,0.1113207595,0.1916666654
"evosuite","GUAVA-206",60,10,43.9699,0.25357144,0.236363642,0.071428572
"evosuite","GUAVA-206",180,10,115.4382,0.260714297,0.245454552,0.076190476
"evosuite","GUAVA-212",60,10,56.1692,0.92570423,0.775675676,0
"evosuite","GUAVA-212",180,10,146.901,0.942605656,0.829729734,0
"evosuite","GUAVA-22",60,10,55.6378,0.539215709,0.51759258,0
"evosuite","GUAVA-22",180,10,133.8187,0.497385632,0.473148151,0
"evosuite","GUAVA-224",60,10,49.5995,0.99285714,1,1
"evosuite","GUAVA-224",180,10,117.147,0.89642857,0.9,0.9
"evosuite","GUAVA-240",60,10,52.0374,0.123076929,0,0
"evosuite","GUAVA-240",180,10,127.8038,0.226923088,0.05,0
"evosuite","GUAVA-39",60,10,55.8423,0.302051293,0.186458335,0.195348841
"evosuite","GUAVA-39",180,10,122.0632,0.430769243,0.279166672,0.313178296
"evosuite","GUAVA-47",60,10,100.4113,0.02631579,0,0
"evosuite","GUAVA-47",180,10,160.4664,0.113157895,0.0071428576,0.003846154
"evosuite","GUAVA-90",60,10,48.1929,0.98867926,0.98125,0.979999984
"evosuite","GUAVA-90",180,10,128.2439,0.89622642,0.9,0.893333328
"evosuite","GUAVA-95",60,10,54.6639,0.274999998,0.125,0.1875
"evosuite","GUAVA-95",180,10,164.3005,0.516666678,0.3,0.3125
"evosuite","PDFBOX-117",60,10,57.4006,0.890000004,0.839130418,0
"evosuite","PDFBOX-117",180,10,169.8333,0.934545464,0.910144916,0.28628571
"evosuite","PDFBOX-127",60,10,54.9033,0.575,0.371428579,0.44444447
"evosuite","PDFBOX-127",180,10,134.2733,0.65625,0.435714291,0.505555578
"evosuite","PDFBOX-130",60,10,56.3896,0.07103448,0.016666668,0.0146666667
"evosuite","PDFBOX-130",180,10,142.4487,0.143448274,0.016666668,0.0253333339
"evosuite","PDFBOX-157",60,10,49.9837,0.020588236,0.0036231883,0
"evosuite","PDFBOX-157",180,10,120.4185,0,0,0
"evosuite","PDFBOX-198",60,10,56.0433,0.66388891,0.32439025,0.05543478
"evosuite","PDFBOX-198",180,10,168.0037,0.66527781,0.326829276,0
"evosuite","PDFBOX-214",60,10,44.7474,0.995121948,0.9925,0.479545456
"evosuite","PDFBOX-214",180,10,114.3695,0.9,0.9,0.4
"evosuite","PDFBOX-22",60,10,55.7393,0.6388889,0.64285711,0.10476191
"evosuite","PDFBOX-22",180,10,136.5826,0.6388889,0.6428571,0.31428573
"evosuite","PDFBOX-220",60,10,56.4642,0.32727272,0.07692308,0
"evosuite","PDFBOX-220",180,10,133.4745,0.32727272,0.073076926,0
"evosuite","PDFBOX-229",60,10,49.164,0.624,0.525,0.1071428628
"evosuite","PDFBOX-229",180,10,115.9105,0.696,0.6,0.1357142918
"evosuite","PDFBOX-234",60,10,55.6471,0.97674416,0.8888889,0
"evosuite","PDFBOX-234",180,10,146.2476,0.967441834,0.87777779,0.2
"evosuite","PDFBOX-235",60,10,45.185,0,0,0
"evosuite","PDFBOX-235",180,10,114.9872,0,0,0
