"benchmark","tool",runs,tgen,texec,avgcovi,avgcovb,avgcovm
"SQLSHEET-76","randoop",6,100.40,0.00,0.0000,0.0000,0.0000
"TIME-77","randoop",6,101.21,0.06,0.6393,0.4857,0.0048
"LANG-1","manual",1,NA,0.08,0.6567,0.7830,0.0170
"BARBECUE-2","manual",1,NA,0.49,0.6991,0.6176,0.1218
"TIME-3","manual",1,NA,0.08,0.7515,0.6111,0.0753
"BARBECUE-4","manual",1,NA,0.00,0.4286,1.0000,0.0500
"LANG-5","manual",1,NA,0.01,1.0000,0.9609,0.0337
"TIME-6","manual",1,NA,0.01,0.9259,0.7857,0.0121
"TIME-7","manual",1,NA,0.06,1.0000,1.0000,0.6129
"LANG-8","manual",1,NA,0.03,1.0000,0.9200,0.4346
"TIME-9","manual",1,NA,0.14,1.0000,1.0000,0.0038
"BARBECUE-10","manual",1,NA,0.01,0.9643,0.9167,0.0925
"BARBECUE-11","manual",1,NA,0.12,0.9857,0.8913,0.0052
"BARBECUE-12","manual",1,NA,0.01,1.0000,1.0000,0.0238
"BARBECUE-13","manual",1,NA,0.01,0.7200,0.6667,0.1368
"TIME-14","manual",1,NA,0.06,1.0000,1.0000,0.1226
"TIME-15","manual",1,NA,0.01,0.7222,0.6938,0.4240
"TIME-16","manual",1,NA,0.01,1.0000,1.0000,0.7059
"TIME-17","manual",1,NA,0.07,0.9821,0.8696,0.0041
"TIME-18","manual",1,NA,0.05,0.9867,1.0000,0.0075
"TIME-19","manual",1,NA,0.10,0.7550,0.6573,0.0171
"TIME-20","manual",1,NA,0.03,0.9294,0.7647,0.0205
"TIME-21","manual",1,NA,0.06,0.6243,0.5825,0.0209
"TIME-22","manual",1,NA,0.09,0.9459,1.0000,0.0040
"TIME-23","manual",1,NA,0.14,0.8966,0.8188,0.0088
"TIME-24","manual",1,NA,0.07,1.0000,0.9744,0.0045
"BARBECUE-25","manual",1,NA,0.00,1.0000,1.0000,0.1429
"TIME-26","manual",1,NA,0.04,1.0000,1.0000,0.0028
"TIME-27","manual",1,NA,0.04,0.9667,1.0000,0.0025
"BARBECUE-28","manual",1,NA,0.00,0.7407,0.7500,0.6364
"TIME-29","manual",1,NA,0.00,0.1899,0.2069,0.2500
"LUCENE-30","manual",1,NA,0.84,0.7604,0.3766,0.0584
"LANG-31","manual",1,NA,0.11,0.9774,0.9184,0.1608
"TIME-32","manual",1,NA,0.09,0.9006,0.8182,0.0205
"BARBECUE-33","manual",1,NA,0.01,0.5667,0.4000,0.1860
"TIME-34","manual",1,NA,0.03,0.8475,0.6071,0.0183
"BARBECUE-35","manual",1,NA,0.00,1.0000,1.0000,0.3448
"TIME-36","manual",1,NA,0.06,1.0000,0.9750,0.0040
"TIME-37","manual",1,NA,0.07,0.9333,0.8125,0.0222
"TIME-38","manual",1,NA,0.04,0.5455,0.3664,0.0213
"TIME-39","manual",1,NA,0.01,1.0000,1.0000,0.0341
"TIME-40","manual",1,NA,0.07,0.9474,0.7500,0.0035
"BARBECUE-41","manual",1,NA,0.01,0.8667,0.8333,0.0811
"TIME-42","manual",1,NA,0.04,0.6863,0.3125,0.0165
"BARBECUE-43","manual",1,NA,0.02,1.0000,0.7500,0.2903
"TIME-44","manual",1,NA,0.01,1.0000,1.0000,0.7222
"TIME-45","manual",1,NA,0.03,1.0000,1.0000,0.0394
"TIME-46","manual",1,NA,0.05,1.0000,0.9714,0.0036
"BARBECUE-47","manual",1,NA,0.01,0.7714,0.8333,0.2044
"BARBECUE-48","manual",1,NA,0.01,0.9887,0.7000,0.0006
"BARBECUE-49","manual",1,NA,0.00,0.8667,1.0000,0.8261
"TIME-50","manual",1,NA,0.05,1.0000,0.9773,0.0049
"TIME-51","manual",1,NA,0.06,0.2228,0.2162,0.0059
"TIME-52","manual",1,NA,0.02,1.0000,1.0000,0.7727
"LANG-53","manual",1,NA,0.01,0.9786,0.8712,0.1309
"TIME-54","manual",1,NA,0.04,0.9487,0.7500,0.0681
"TIME-55","manual",1,NA,0.02,1.0000,1.0000,0.0352
"TIME-56","manual",1,NA,0.02,1.0000,0.8636,0.0335
"TIME-57","manual",1,NA,0.02,0.8962,0.7848,0.0472
"TIME-58","manual",1,NA,0.06,0.9522,0.8750,0.0074
"TIME-59","manual",1,NA,0.04,0.9524,0.8333,0.0744
"TIME-60","manual",1,NA,0.04,0.9630,0.9000,0.0771
"TIME-61","manual",1,NA,0.04,1.0000,1.0000,0.0672
"TIME-62","manual",1,NA,0.00,0.4167,0.0000,0.3750
"TIME-63","manual",1,NA,0.01,1.0000,1.0000,0.6786
"TIME-64","manual",1,NA,0.02,1.0000,1.0000,0.6970
"TIME-65","manual",1,NA,0.02,1.0000,1.0000,0.6429
"TIME-66","manual",1,NA,0.01,1.0000,1.0000,0.5000
"TIME-67","manual",1,NA,0.04,1.0000,0.9286,0.0717
"TIME-68","manual",1,NA,0.06,1.0000,0.9714,0.0042
"BARBECUE-69","manual",1,NA,0.00,1.0000,1.0000,0.1549
"BARBECUE-70","manual",1,NA,0.01,0.8889,0.8000,0.0902
"TIME-71","manual",1,NA,0.04,0.9551,0.9242,0.1065
"BARBECUE-72","manual",1,NA,0.02,0.2602,0.1842,0.2231
"TIME-73","manual",1,NA,0.03,0.9710,0.9167,0.0627
"LUCENE-74","manual",1,NA,1.98,1.0000,0.8333,0.8304
"SQLSHEET-75","manual",1,NA,12.33,0.5203,0.6479,0.2715
"SQLSHEET-76","manual",1,NA,18.14,0.8043,0.7037,0.3214
"TIME-77","manual",1,NA,0.05,1.0000,0.9714,0.0054
"LANG-1","evosuite",6,200.56,0.01,0.1097,0.0805,0.0000
"BARBECUE-2","evosuite",6,195.05,0.00,0.0000,0.0000,0.0000
"TIME-3","evosuite",6,194.84,0.07,0.8363,0.7986,0.0753
"BARBECUE-4","evosuite",6,193.12,0.26,1.0000,1.0000,0.1825
"LANG-5","evosuite",6,12.55,0.00,0.0000,0.0000,0.0000
"TIME-6","evosuite",6,6.07,0.00,0.0000,0.0000,0.0000
"TIME-7","evosuite",6,191.64,0.05,0.5667,0.4500,0.4086
"LANG-8","evosuite",6,187.10,0.00,0.9778,0.9400,0.4729
"TIME-9","evosuite",6,190.47,0.07,0.1053,1.0000,0.0000
"BARBECUE-10","evosuite",6,194.15,0.01,0.2738,0.1319,0.0000
"BARBECUE-11","evosuite",6,194.80,0.01,0.2548,0.0308,0.0000
"BARBECUE-12","evosuite",6,193.88,0.02,0.5109,0.5625,0.0000
"BARBECUE-13","evosuite",6,194.58,0.08,1.0000,1.0000,0.3527
"TIME-14","evosuite",6,189.47,0.02,0.6492,0.4624,0.1233
"TIME-15","evosuite",6,190.54,0.05,0.6709,0.5979,0.4240
"TIME-16","evosuite",6,189.46,0.01,0.6667,1.0000,0.2353
"TIME-17","evosuite",6,191.00,0.06,0.9107,0.8225,0.0040
"TIME-18","evosuite",6,189.80,0.07,1.0000,1.0000,0.0075
"TIME-19","evosuite",6,196.14,0.06,0.7200,0.5641,0.0142
"TIME-20","evosuite",6,200.64,0.07,0.7480,0.6348,0.0205
"TIME-21","evosuite",6,229.80,0.00,0.0000,0.0000,0.0000
"TIME-22","evosuite",6,191.04,0.08,0.5653,0.4912,0.0040
"TIME-23","evosuite",6,221.39,0.08,0.5161,0.4589,0.0052
"TIME-24","evosuite",6,191.94,0.17,0.8680,0.8632,0.0045
"BARBECUE-25","evosuite",6,188.56,0.14,1.0000,1.0000,1.0000
"TIME-26","evosuite",6,186.85,0.00,0.0000,0.0000,0.0028
"TIME-27","evosuite",6,189.61,0.04,0.9944,1.0000,0.0021
"BARBECUE-28","evosuite",6,189.45,0.01,0.7593,0.6667,0.2436
"TIME-29","evosuite",6,189.50,0.06,0.9262,0.9195,0.2500
"LUCENE-30","evosuite",6,192.46,0.03,0.9158,0.5173,0.0000
"LANG-31","evosuite",6,195.11,0.01,0.9497,0.8861,0.1494
"TIME-32","evosuite",6,216.55,0.07,0.7836,0.5909,0.0205
"BARBECUE-33","evosuite",6,192.90,0.15,0.8444,0.6333,0.1411
"TIME-34","evosuite",6,6.14,0.00,0.0000,0.0000,0.0000
"BARBECUE-35","evosuite",6,186.99,0.00,1.0000,1.0000,1.0000
"TIME-36","evosuite",6,190.23,0.09,0.7764,0.7500,0.0040
"TIME-40","evosuite",6,187.27,0.01,0.4474,0.5625,0.0035
"BARBECUE-41","evosuite",6,193.77,0.01,0.2667,0.5000,0.0000
"TIME-37","evosuite",6,189.47,0.04,0.8444,0.5833,0.0186
"TIME-38","evosuite",6,191.23,0.04,0.7710,0.5076,0.0213
"TIME-39","evosuite",6,190.74,0.09,1.0000,1.0000,0.0341
"TIME-42","evosuite",6,190.50,0.04,0.4967,0.1146,0.0165
"BARBECUE-43","evosuite",6,194.73,0.00,0.0000,0.0000,0.0000
"TIME-44","evosuite",6,189.43,0.02,0.9167,1.0000,0.4815
"TIME-45","evosuite",6,186.89,0.00,0.0000,0.0000,0.0394
"TIME-46","evosuite",6,190.67,0.09,0.8213,0.8238,0.0037
"BARBECUE-47","evosuite",6,192.90,0.03,0.8762,0.8611,0.2885
"BARBECUE-48","evosuite",6,196.60,0.01,0.9944,0.9000,0.0008
"BARBECUE-49","evosuite",6,186.83,0.00,0.8667,1.0000,0.7971
"TIME-50","evosuite",6,190.17,0.08,0.8586,0.8485,0.0049
"TIME-51","evosuite",6,195.96,0.33,0.3057,0.2027,0.0000
"TIME-52","evosuite",6,189.47,0.05,0.9091,1.0000,0.6439
"LANG-53","evosuite",6,190.04,0.01,0.1422,0.1183,0.0000
"TIME-54","evosuite",6,188.86,0.05,0.4402,0.6250,0.0681
"TIME-55","evosuite",6,189.58,0.03,1.0000,1.0000,0.0293
"TIME-56","evosuite",6,191.23,0.05,0.9722,0.9318,0.0335
"TIME-57","evosuite",6,207.49,0.07,0.7805,0.6519,0.0393
"TIME-58","evosuite",6,192.25,0.05,0.4886,0.3494,0.0050
"TIME-59","evosuite",6,189.55,0.04,0.4683,0.3889,0.0124
"TIME-60","evosuite",6,191.30,0.05,0.9383,0.8500,0.0771
"TIME-61","evosuite",6,186.85,0.00,0.0417,0.0000,0.0672
"TIME-62","evosuite",6,189.92,0.04,0.8889,0.8333,0.3125
"TIME-63","evosuite",6,190.91,0.05,0.4537,0.2292,0.2262
"TIME-64","evosuite",6,190.57,0.06,0.6429,0.5278,0.5808
"TIME-65","evosuite",6,190.73,0.05,0.5104,0.3750,0.3214
"TIME-66","evosuite",6,189.74,0.05,1.0000,1.0000,0.5000
"TIME-67","evosuite",6,187.39,0.00,0.6579,0.5000,0.0717
"TIME-68","evosuite",6,190.79,0.09,0.8478,0.8333,0.0042
"BARBECUE-69","evosuite",6,194.15,0.05,1.0000,1.0000,0.2012
"BARBECUE-70","evosuite",6,193.61,0.01,0.4136,0.4833,0.0139
"TIME-71","evosuite",6,191.44,0.07,0.5056,0.4571,0.0883
"BARBECUE-72","evosuite",6,194.93,0.03,0.3591,0.1404,0.0000
"TIME-73","evosuite",6,193.01,0.07,0.7295,0.9306,0.0627
"LUCENE-74","evosuite",6,186.98,0.01,0.9032,0.5000,0.0000
"SQLSHEET-75","evosuite",6,217.65,0.00,0.0000,0.0000,0.0000
"SQLSHEET-76","evosuite",6,216.29,0.00,0.0000,0.0000,0.0000
"TIME-77","evosuite",6,190.04,0.08,0.8497,0.8571,0.0055
