benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"BCEL-1","randoop",3,10,1.3,0,0,0
"BCEL-2","randoop",3,10,12.3,0.035,0,0
"BCEL-5","randoop",3,10,12.1,0.041,0,0.014
"BCEL-8","randoop",3,10,1.4,0,0,0
"BCEL-10","randoop",3,10,11.5,0,0,0
"BCEL-3","randoop",3,10,12.1,0.807,0.652,0
"BCEL-6","randoop",3,10,11.7,0.725,0.555,0.7
"BCEL-4","randoop",3,10,12,0.433,0.343,0.177
"BCEL-7","randoop",3,10,11.7,0.284,0.155,0.19
"BCEL-9","randoop",3,10,11.7,0.416,0.238,0.192
"FREEHEP-10","randoop",3,10,11.8,0.889,0.671,0.321
"FREEHEP-1","randoop",3,10,12.2,0.049,0.025,0.014
"FREEHEP-2","randoop",3,10,1.3,0,0,0
"FREEHEP-5","randoop",3,10,11.9,0.642,0.36,0
"FREEHEP-4","randoop",3,10,11.7,0.516,0.502,0.119
"FREEHEP-3","randoop",3,10,13.3,0.036,0,0
"FREEHEP-6","randoop",3,10,11.4,0.02,0,0
"FREEHEP-8","randoop",3,10,1.3,0,0,0
"FREEHEP-7","randoop",3,10,12.3,0.142,0.02,0.047
"FREEHEP-9","randoop",3,10,12.6,0.099,0.013,0
"GSON-10","randoop",3,10,12.1,0.355,0.093,0.108
"GSON-2","randoop",3,10,13.9,0.206,0.123,0
"GSON-3","randoop",3,10,11.8,0.817,0.662,0.563
"GSON-1","randoop",3,10,11.4,0.095,0,0
"GSON-4","randoop",3,10,11.7,0.027,0.002,0
"GSON-5","randoop",3,10,11.7,0.389,0.206,0
"IMAGE-1","randoop",3,10,1.2,0,0,0
"IMAGE-2","randoop",3,10,11.8,0.175,0.088,0
"IMAGE-4","randoop",3,10,12.1,0.093,0.019,0.063
"GSON-6","randoop",3,10,12.1,0.187,0.139,0.129
"GSON-7","randoop",3,10,12.1,0.787,0.324,0.7
"GSON-9","randoop",3,10,11.3,0.032,0.016,0.014
"IMAGE-3","randoop",3,10,12.4,0.113,0.108,0.058
"JXPATH-10","randoop",3,10,12.5,0.033,0.016,0.035
"JXPATH-1","randoop",3,10,12.1,0.06,0.04,0
"JXPATH-2","randoop",3,10,1.2,0,0,0
"JXPATH-3","randoop",3,10,1.3,0,0,0
"JXPATH-4","randoop",3,10,11.6,0.136,0.107,0
"JXPATH-6","randoop",3,10,1.3,0,0,0
"JXPATH-8","randoop",3,10,11.9,0.242,0.277,0
"JXPATH-5","randoop",3,10,11.8,0.586,0.306,0.388
"JXPATH-7","randoop",3,10,11.8,0.077,0.007,0.004
"JXPATH-9","randoop",3,10,11.4,0,0,0
"LA4J-10","randoop",3,10,11.5,0,0,0
"LA4J-2","randoop",3,10,11.4,0,0,0
"LA4J-1","randoop",3,10,12,0.644,0.473,0.186
"LA4J-3","randoop",3,10,12,0.675,0.565,0.145
"LA4J-6","randoop",3,10,11.4,0,0,0
"LA4J-8","randoop",3,10,16,0.58,0.382,0.39
"LA4J-5","randoop",3,10,1.3,0,0,0
"LA4J-4","randoop",3,10,11.9,0.715,0.439,0.373
"LA4J-7","randoop",3,10,12,0.695,0.604,0.145
"LA4J-9","randoop",3,10,11.9,0.011,0,0
"OKHTTP-1","randoop",3,10,11.4,0.033,0,0
"OKHTTP-2","randoop",3,10,12.1,0.272,0.266,0.323
"OKHTTP-3","randoop",3,10,11.9,0.512,0.282,0.338
"OKHTTP-4","randoop",3,10,11.4,0.156,0.129,0.154
"OKHTTP-6","randoop",3,10,12.1,0.242,0.014,0.22
"OKHTTP-7","randoop",3,10,11.4,0.05,0,0
"OKHTTP-5","randoop",3,10,11.6,0,0,0
"OKHTTP-8","randoop",3,10,1.4,0,0,0
"RE2J-1","randoop",3,10,11.5,0.128,0.065,0.059
"RE2J-2","randoop",3,10,11.9,0.861,0.836,0.078
"RE2J-3","randoop",3,10,11.3,0.031,0.017,0.034
"RE2J-4","randoop",3,10,1.4,0,0,0
"RE2J-5","randoop",3,10,11.4,0.068,0,0
"RE2J-6","randoop",3,10,11.5,0,0,0
"RE2J-7","randoop",3,10,11.6,0.225,0.109,0.089
"RE2J-8","randoop",3,10,11.9,0.882,0.738,0.049
"BCEL-1","t3",3,10,16.7,0,0,0
"BCEL-2","t3",3,10,5.7,0,0,0
"BCEL-5","t3",3,10,5.5,0,0,0
"BCEL-8","t3",3,10,6.2,0.519,0.208,0.197
"BCEL-10","t3",3,10,16.2,0.436,0.388,0.355
"BCEL-3","t3",3,10,15.4,0.626,0.473,0.503
"BCEL-6","t3",3,10,5.4,0.763,0.629,0.573
"BCEL-4","t3",3,10,6.5,0.538,0.391,0.098
"BCEL-7","t3",3,10,4.8,0,0,0
"BCEL-9","t3",3,10,7.1,0.44,0.328,0.195
"FREEHEP-10","t3",3,10,5.2,0.605,0.245,0.172
"FREEHEP-1","t3",3,10,4.6,0.049,0.034,0.008
"FREEHEP-2","t3",3,10,3.4,0,0,0
"FREEHEP-5","t3",3,10,16.5,0,0,0
"FREEHEP-4","t3",3,10,14.7,0,0,0
"FREEHEP-3","t3",3,10,5.7,0.036,0,0
"FREEHEP-6","t3",3,10,4.8,0.02,0,0
"FREEHEP-8","t3",3,10,3.3,0,0,0
"FREEHEP-7","t3",3,10,4.8,0.142,0.02,0
"FREEHEP-9","t3",3,10,4.7,0.099,0.013,0
"GSON-10","t3",3,10,6.2,0.352,0.089,0.155
