benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"Chart-11","randoop",6,60,63.2,0.564,0.344,0.075
"Chart-12","randoop",6,60,65.2,0.368,0.202,0.054
"Chart-16","randoop",6,60,65.2,0.563,0.529,0.51
"Chart-17","randoop",6,60,64.2,0,0,0
"Chart-1","randoop",6,60,65.5,0.342,0.227,0.138
"Chart-20","randoop",6,60,64.9,0.681,0.25,0.272
"Chart-23","randoop",6,60,65.6,0.406,0.276,0.024
"Chart-24","randoop",6,60,63.6,0.92,0.8,0.756
"Chart-25","randoop",6,60,66.3,0.093,0.022,0.005
"Chart-26","randoop",6,60,67.6,0.462,0.227,0.087
"Chart-2","randoop",6,60,65.7,0.246,0.195,0.113
"Chart-3","randoop",6,60,64.9,0,0,0
"Chart-4","randoop",6,60,66.5,0.452,0.304,0.119
"Chart-6","randoop",6,60,63.6,0.441,0.437,0.178
"Chart-7","randoop",6,60,64.8,0.899,0.74,0.531
"Chart-9","randoop",6,60,64.6,0.254,0.141,0.052
"Closure-100","randoop",6,60,65.4,0.377,0.142,0.081
"Closure-124","randoop",6,60,65.4,0.013,0,0
"Closure-130","randoop",6,60,65.7,0.069,0.022,0
"Closure-132","randoop",6,60,65.1,0.05,0.014,0.007
"Closure-14","randoop",6,60,69.5,0.228,0.141,0.077
"Closure-16","randoop",6,60,69.6,0.036,0,0
"Closure-20","randoop",6,60,66.3,0.024,0.005,0.006
"Closure-46","randoop",6,60,64.5,0.068,0,0
"Closure-68","randoop",6,60,64.7,0.215,0.139,0.062
"Closure-74","randoop",6,60,66,0.023,0.004,0.001
"Closure-98","randoop",6,60,68.9,0.227,0.083,0.03
"Closure-99","randoop",6,60,66.7,0.133,0,0
"Lang-28","randoop",6,60,64.4,0.12,0.062,0.102
"Lang-33","randoop",6,60,64.1,0.802,0.582,0.446
"Lang-36","randoop",6,60,77.1,0.849,0.681,0.362
"Lang-37","randoop",6,60,64.2,0.97,0.911,0.73
"Lang-41","randoop",6,60,63.3,0.69,0.521,0.483
"Lang-43","randoop",6,60,64.8,0.122,0.01,0
"Lang-47","randoop",6,60,63.4,0.806,0.715,0.403
"Lang-50","randoop",6,60,65.7,0.779,0.719,0.449
"Lang-57","randoop",6,60,63,0.815,0.593,0.209
"Lang-58","randoop",6,60,68.7,0.819,0.669,0.409
"Lang-59","randoop",6,60,63.5,0.839,0.767,0.443
"Lang-60","randoop",6,60,63.6,0.825,0.751,0.448
"Lang-63","randoop",6,60,78.6,0.681,0.654,0.441
"Lang-65","randoop",6,60,63.3,0.846,0.674,0.337
"Math-103","randoop",6,60,65.5,0.976,0.944,0.805
"Math-106","randoop",6,60,63.3,0.555,0.368,0.043
"Math-18","randoop",6,60,65.4,0.066,0.007,0
"Math-20","randoop",6,60,65.5,0.067,0.007,0
"Math-21","randoop",6,60,65.9,0.781,0.75,0.284
"Math-2","randoop",6,60,68.2,0.893,0.846,0.762
"Math-39","randoop",6,60,66.4,0.296,0,0.043
"Math-44","randoop",6,60,64,0.325,0.086,0.083
"Math-52","randoop",6,60,66.3,0.602,0.295,0.057
"Math-56","randoop",6,60,65.6,0.214,0.156,0.101
"Math-64","randoop",6,60,63.7,0.054,0,0.001
"Math-67","randoop",6,60,63.9,0,0,0
"Math-7","randoop",6,60,67.7,0.291,0.068,0.105
"Math-88","randoop",6,60,65.8,0.106,0.044,0.01
"Math-91","randoop",6,60,78,0.61,0.488,0.333
"Math-93","randoop",6,60,109.1,0.627,0.568,0.49
"Time-10","randoop",6,60,64.8,0.671,0.63,0.324
"Time-11","randoop",6,60,65.1,0.223,0.17,0.046
"Time-13","randoop",6,60,64.6,0.725,0.566,0.278
"Time-20","randoop",6,60,64.6,0.66,0.511,0.204
"Time-23","randoop",6,60,65.7,0.781,0.654,0.415
"Time-3","randoop",6,60,64.8,0.759,0.674,0.142
"Time-4","randoop",6,60,64.8,0.506,0.349,0.111
"Time-5","randoop",6,60,65.5,0.74,0.52,0.026
"Time-7","randoop",6,60,64.8,0.827,0.676,0.2
"Time-8","randoop",6,60,64.5,0.75,0.602,0.386
"Chart-11","t3",6,60,48.8,0.71,0.576,0.121
"Chart-12","t3",6,60,59.5,0.481,0.43,0.151
"Chart-16","t3",6,60,59.3,0.408,0.324,0.227
"Chart-17","t3",6,60,59.7,0.898,0.83,0.455
"Chart-1","t3",6,60,10.1,0,0,0
"Chart-20","t3",6,60,59.6,0.772,0.729,0.515
"Chart-23","t3",6,60,59.7,0.287,0.166,0.071
"Chart-24","t3",6,60,13.8,1,1,0.914
"Chart-25","t3",6,60,59.7,0.109,0.07,0.01
"Chart-26","t3",6,60,9.7,0,0,0
"Chart-2","t3",6,60,62.3,0.509,0.408,0.329
"Chart-3","t3",6,60,59.8,0.886,0.733,0.552
"Chart-4","t3",6,60,62.6,0.393,0.265,0.129
"Chart-6","t3",6,60,24.1,0.5,0.5,0.25
"Chart-7","t3",6,60,55.6,0.973,0.944,0.599
"Chart-9","t3",6,60,59.7,0.907,0.827,0.479
"Closure-100","t3",6,60,69,0.088,0.035,0.047
"Closure-124","t3",6,60,72.7,0.094,0.044,0.027
"Closure-130","t3",6,60,79.6,0.012,0.005,0
"Closure-132","t3",6,60,24.7,0,0,0
"Closure-14","t3",6,60,73.5,0,0,0
"Closure-16","t3",6,60,73.3,0.046,0.021,0.026
"Closure-20","t3",6,60,24.2,0,0,0
"Closure-46","t3",6,60,37.5,0.068,0,0
"Closure-68","t3",6,60,68.5,0.151,0.088,0.047
"Closure-74","t3",6,60,63.5,0.066,0.036,0.012
"Closure-98","t3",6,60,70.6,0,0,0
"Closure-99","t3",6,60,70.3,0,0,0
"Lang-28","t3",6,60,13.9,0.12,0.187,0.158
"Lang-33","t3",6,60,7.4,0,0,0
"Lang-36","t3",6,60,34.6,0.896,0.738,0.382
"Lang-37","t3",6,60,59.5,0.985,0.97,0.968
"Lang-41","t3",6,60,6.6,0,0,0
"Lang-43","t3",6,60,38.8,0.122,0.01,0
"Lang-47","t3",6,60,58.9,0.935,0.889,0.759
"Lang-50","t3",6,60,49.9,0.936,0.884,0.612
"Lang-57","t3",6,60,15.8,0.868,0.703,0.419
"Lang-58","t3",6,60,36.3,0.911,0.785,0.462
"Lang-59","t3",6,60,58.5,0.952,0.912,0.77
"Lang-60","t3",6,60,58.8,0.957,0.917,0.789
"Lang-63","t3",6,60,67.5,0.759,0.721,0.648
"Lang-65","t3",6,60,33.6,0.95,0.902,0.533
"Math-103","t3",6,60,27.1,0.976,0.944,0.82
"Math-106","t3",6,60,60.7,0.682,0.578,0.369
"Math-18","t3",6,60,70.7,0.07,0.007,0.003
"Math-20","t3",6,60,70.3,0.07,0.007,0.003
"Math-21","t3",6,60,69.1,0,0,0
"Math-2","t3",6,60,36.6,1,1,0.795
"Math-39","t3",6,60,9.8,0,0,0
"Math-44","t3",6,60,10.4,0,0,0
"Math-52","t3",6,60,56.5,0.755,0.482,0.601
"Math-56","t3",6,60,28.1,0.969,0.973,0.771
"Math-64","t3",6,60,35.8,0.256,0.132,0.027
"Math-67","t3",6,60,68.3,0.924,0.848,0.531
"Math-7","t3",6,60,11.3,0,0,0
"Math-88","t3",6,60,62.8,0.106,0.044,0.01
"Math-91","t3",6,60,33,0.932,0.833,0.618
"Math-93","t3",6,60,85.8,0.113,0.094,0.062
"Time-10","t3",6,60,7.6,0,0,0
"Time-11","t3",6,60,46,0.549,0.426,0.172
"Time-13","t3",6,60,68.5,0.379,0.211,0.138
"Time-20","t3",6,60,61.4,0.758,0.632,0.289
"Time-23","t3",6,60,8.5,0,0,0
"Time-3","t3",6,60,65.1,0.7,0.518,0.194
"Time-4","t3",6,60,53.7,0.967,0.938,0.784
"Time-5","t3",6,60,68.5,0.956,0.882,0.634
"Time-7","t3",6,60,67.9,0.337,0.193,0.108
"Time-8","t3",6,60,7.7,0,0,0
"Chart-11","evosuite",6,60,63.6,0.81,0.58,0.133
"Chart-12","evosuite",6,60,63.5,0.541,0.48,0.107
"Chart-16","evosuite",6,60,62.5,0.818,0.746,0.473
"Chart-17","evosuite",6,60,63.4,0.692,0.589,0.279
"Chart-1","evosuite",6,60,67.7,0.345,0.225,0.113
"Chart-20","evosuite",6,60,59.6,0.954,0.875,0.818
"Chart-23","evosuite",6,60,61.7,0.416,0.306,0.033
"Chart-24","evosuite",6,60,59.4,1,1,0.918
"Chart-25","evosuite",6,60,62,0.13,0.083,0.002
"Chart-26","evosuite",6,60,65.1,0.545,0.375,0.057
"Chart-2","evosuite",6,60,69,0,0,0
"Chart-3","evosuite",6,60,65.2,0.775,0.604,0.279
"Chart-4","evosuite",6,60,77.9,0.454,0.294,0.172
"Chart-6","evosuite",6,60,60,0.509,0.375,0.154
"Chart-7","evosuite",6,60,61.7,0.586,0.382,0.217
"Chart-9","evosuite",6,60,63.3,0.657,0.533,0.229
"Closure-100","evosuite",6,60,60.1,0.244,0.035,0.081
"Closure-124","evosuite",6,60,60.4,0.094,0,0.013
"Closure-130","evosuite",6,60,61.8,0.091,0.025,0
"Closure-132","evosuite",6,60,64.4,0.098,0.031,0.034
"Closure-14","evosuite",6,60,62.1,0.094,0.01,0.026
"Closure-16","evosuite",6,60,60.2,0.123,0,0
"Closure-20","evosuite",6,60,63.9,0.11,0.039,0.039
"Closure-46","evosuite",6,60,61.2,0.022,0,0
"Closure-68","evosuite",6,60,75,0.166,0.112,0.036
"Closure-74","evosuite",6,60,64.2,0.056,0.002,0.018
"Closure-98","evosuite",6,60,61.4,0.292,0.058,0.082
"Closure-99","evosuite",6,60,60.2,0.244,0.032,0.069
"Lang-28","evosuite",6,60,58.7,0.12,0.062,0.083
"Lang-33","evosuite",6,60,63,0.807,0.608,0.361
"Lang-36","evosuite",6,60,63.3,0.839,0.671,0.271
