benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"Lang-37","evosuite",6,60,75,0.786,0.614,0.244
"Lang-41","evosuite",6,60,62.1,0.814,0.612,0.39
"Lang-43","evosuite",6,60,60.2,0.495,0.319,0.124
"Lang-47","evosuite",6,60,72.5,0.756,0.638,0.231
"Lang-50","evosuite",6,60,70.6,0.804,0.631,0.191
"Lang-57","evosuite",6,60,60.6,0.861,0.75,0.404
"Lang-58","evosuite",6,60,63.9,0.794,0.641,0.21
"Lang-59","evosuite",6,60,72.2,0.785,0.687,0.252
"Lang-60","evosuite",6,60,70.7,0.773,0.672,0.238
"Lang-63","evosuite",6,60,65.6,0.81,0.788,0.135
"Lang-65","evosuite",6,60,61.8,0.725,0.565,0.281
"Math-103","evosuite",6,60,59.8,0.857,0.777,0.629
"Math-106","evosuite",6,60,59.6,0.634,0.464,0.249
"Math-18","evosuite",6,60,70.9,0.857,0.709,0.299
"Math-20","evosuite",6,60,69.4,0.853,0.677,0.33
"Math-21","evosuite",6,60,61,0.584,0.583,0.236
"Math-2","evosuite",6,60,65.5,0.984,0.967,0.393
"Math-39","evosuite",6,60,62.8,0.743,0.391,0.207
"Math-44","evosuite",6,60,63.9,0.63,0.496,0.349
"Math-52","evosuite",6,60,64.6,0.728,0.454,0.528
"Math-56","evosuite",6,60,64,0.978,0.942,0.487
"Math-64","evosuite",6,60,64.2,0.358,0.227,0.056
"Math-67","evosuite",6,60,68.4,0.875,0.818,0.362
"Math-7","evosuite",6,60,61.7,0.5,0.295,0.262
"Math-88","evosuite",6,60,60.1,0.083,0.022,0.005
"Math-91","evosuite",6,60,63.6,0.965,0.94,0.586
"Math-93","evosuite",6,60,67.1,0.815,0.789,0.246
"Time-10","evosuite",6,60,61.7,0.914,0.873,0.463
"Time-11","evosuite",6,60,63.3,0.306,0.259,0.113
"Time-13","evosuite",6,60,65.7,0.497,0.29,0.119
"Time-20","evosuite",6,60,70,0.353,0.252,0.093
"Time-23","evosuite",6,60,64.4,0.835,0.715,0.403
"Time-3","evosuite",6,60,64.4,0.873,0.796,0.353
"Time-4","evosuite",6,60,63,0.724,0.555,0.296
"Time-5","evosuite",6,60,69.2,0.967,0.809,0.251
"Time-7","evosuite",6,60,64.7,0.872,0.84,0.395
"Time-8","evosuite",6,60,63.8,0.813,0.683,0.337
"Chart-11","jtexpert",6,60,71.1,0.9,0.738,0.401
"Chart-12","jtexpert",6,60,111.2,0.448,0.323,0.079
"Chart-16","jtexpert",6,60,82.1,0.728,0.622,0.255
"Chart-17","jtexpert",6,60,90.9,0.546,0.474,0.223
"Chart-1","jtexpert",6,60,106.4,0.271,0.201,0.055
"Chart-20","jtexpert",6,60,63.3,0.909,0.75,0.454
"Chart-23","jtexpert",6,60,116.2,0.3,0.181,0.054
"Chart-24","jtexpert",6,60,73.2,0.793,0.816,0.355
"Chart-25","jtexpert",6,60,93.8,0.083,0.037,0.006
"Chart-26","jtexpert",6,60,104.9,0,0,0
"Chart-2","jtexpert",6,60,77.8,0.449,0.385,0.181
"Chart-3","jtexpert",6,60,89.1,0.728,0.628,0.381
"Chart-4","jtexpert",6,60,101.6,0.019,0.008,0.006
"Chart-6","jtexpert",6,60,55,0.5,0.5,0.184
"Chart-7","jtexpert",6,60,65.5,0.854,0.768,0.657
"Chart-9","jtexpert",6,60,88.3,0.515,0.401,0.183
"Closure-100","jtexpert",6,60,70.5,0.414,0.163,0.076
"Closure-124","jtexpert",6,60,60,0.04,0.014,0.013
"Closure-130","jtexpert",6,60,62.1,0.072,0.03,0
"Closure-132","jtexpert",6,60,82.3,0.136,0.097,0.059
"Closure-14","jtexpert",6,60,63.9,0.228,0.12,0.089
"Closure-16","jtexpert",6,60,59,0.245,0.12,0.08
"Closure-20","jtexpert",6,60,83.2,0.127,0.093,0.046
"Closure-46","jtexpert",6,60,56.9,0,0,0
"Closure-68","jtexpert",6,60,121,0,0,0
"Closure-74","jtexpert",6,60,68.8,0.052,0.021,0.007
"Closure-98","jtexpert",6,60,81.4,0.51,0.214,0.157
"Closure-99","jtexpert",6,60,69.6,0.377,0.11,0.049
"Lang-28","jtexpert",6,60,54.5,0.24,0.187,0.05
"Lang-33","jtexpert",6,60,80.2,0.894,0.834,0.505
"Lang-36","jtexpert",6,60,78.2,0.939,0.793,0.367
"Lang-37","jtexpert",6,60,100.7,0.938,0.801,0.565
"Lang-41","jtexpert",6,60,74.5,0.9,0.843,0.544
"Lang-43","jtexpert",6,60,59.7,0.546,0.432,0.198
"Lang-47","jtexpert",6,60,121,0.915,0.848,0.511
"Lang-50","jtexpert",6,60,79.7,0.926,0.833,0.611
"Lang-57","jtexpert",6,60,61.8,0.956,0.822,0.549
"Lang-58","jtexpert",6,60,77.2,0.925,0.798,0.447
"Lang-59","jtexpert",6,60,121,0.937,0.886,0.536
"Lang-60","jtexpert",6,60,121,0.887,0.826,0.485
"Lang-63","jtexpert",6,60,65.9,0.988,0.958,0.728
"Lang-65","jtexpert",6,60,73.2,0.882,0.758,0.381
"Math-103","jtexpert",6,60,61.7,0.769,0.685,0.466
"Math-106","jtexpert",6,60,59.2,0.73,0.578,0.246
"Math-18","jtexpert",6,60,95.7,0.468,0.328,0.088
"Math-20","jtexpert",6,60,92.5,0.566,0.396,0.098
"Math-21","jtexpert",6,60,79.1,0.718,0.714,0.214
"Math-2","jtexpert",6,60,60.1,0.982,0.923,0.813
"Math-39","jtexpert",6,60,58.8,0.296,0,0.004
"Math-44","jtexpert",6,60,77.7,0.254,0.061,0.076
"Math-52","jtexpert",6,60,70.5,0.686,0.683,0.372
"Math-56","jtexpert",6,60,76.3,0.949,0.822,0.469
"Math-64","jtexpert",6,60,68.6,0.054,0,0
"Math-67","jtexpert",6,60,91.9,0.34,0.078,0.014
"Math-7","jtexpert",6,60,81.3,0.265,0.057,0.073
"Math-88","jtexpert",6,60,61.3,0.622,0.538,0.293
"Math-91","jtexpert",6,60,61.5,0.929,0.825,0.666
"Math-93","jtexpert",6,60,94,0.643,0.591,0.431
"Time-10","jtexpert",6,60,61.2,0.823,0.742,0.685
"Time-11","jtexpert",6,60,81.6,0.302,0.26,0.064
"Time-13","jtexpert",6,60,110.9,0.891,0.756,0.413
"Time-20","jtexpert",6,60,97.6,0.729,0.601,0.344
"Time-23","jtexpert",6,60,82.8,0.738,0.629,0.388
"Time-3","jtexpert",6,60,71.2,0.84,0.862,0.235
"Time-4","jtexpert",6,60,79,0.932,0.904,0.573
"Time-5","jtexpert",6,60,68.4,0.967,0.911,0.67
"Time-7","jtexpert",6,60,79.8,0.862,0.679,0.382
"Time-8","jtexpert",6,60,87.3,0.754,0.62,0.372
"Chart-11","randoop",6,120,123.9,0.564,0.344,0.076
"Chart-12","randoop",6,120,127,0.44,0.301,0.068
"Chart-16","randoop",6,120,127.2,0.575,0.546,0.536
"Chart-17","randoop",6,120,125.3,0,0,0
"Chart-1","randoop",6,120,128.4,0.342,0.227,0.138
"Chart-20","randoop",6,120,126.2,0.681,0.25,0.272
"Chart-23","randoop",6,120,127.3,0.416,0.303,0.035
"Chart-24","randoop",6,120,123.9,0.92,0.8,0.756
"Chart-25","randoop",6,120,127.1,0.093,0.022,0.005
"Chart-26","randoop",6,120,128.1,0.487,0.275,0.096
"Chart-2","randoop",6,120,128.1,0.279,0.218,0.132
"Chart-3","randoop",6,120,126.8,0.157,0.094,0.036
"Chart-4","randoop",6,120,128.1,0.519,0.363,0.235
"Chart-6","randoop",6,120,124.4,0.441,0.437,0.178
"Chart-7","randoop",6,120,126.8,0.953,0.851,0.61
"Chart-9","randoop",6,120,126.4,0.373,0.233,0.1
"Closure-100","randoop",6,120,130.1,0.377,0.142,0.081
"Closure-124","randoop",6,120,126.3,0.094,0.044,0.027
"Closure-130","randoop",6,120,126.9,0.072,0.028,0
"Closure-132","randoop",6,120,126.2,0.056,0.025,0.012
"Closure-14","randoop",6,120,127.6,0.231,0.143,0.097
"Closure-16","randoop",6,120,127.5,0.061,0,0
"Closure-20","randoop",6,120,128.2,0.036,0.024,0.028
"Closure-46","randoop",6,120,125.8,0.068,0,0
"Closure-68","randoop",6,120,126.3,0.225,0.146,0.066
"Closure-74","randoop",6,120,128.4,0.03,0.01,0.001
"Closure-98","randoop",6,120,128.6,0.227,0.083,0.04
"Closure-99","randoop",6,120,126.2,0.2,0.032,0.044
"Lang-28","randoop",6,120,126.1,0.12,0.062,0.102
"Lang-33","randoop",6,120,125,0.809,0.594,0.486
"Lang-36","randoop",6,120,241,0.6,0.371,0.131
"Lang-37","randoop",6,120,125,0.985,0.948,0.787
"Lang-41","randoop",6,120,123.8,0.69,0.527,0.485
"Lang-43","randoop",6,120,126.5,0.122,0.01,0
"Lang-47","randoop",6,120,124.1,0.857,0.789,0.589
"Lang-50","randoop",6,120,128.6,0.782,0.723,0.464
"Lang-57","randoop",6,120,123.3,0.815,0.593,0.209
"Lang-58","randoop",6,120,132.7,0.829,0.685,0.445
"Lang-59","randoop",6,120,124.2,0.847,0.794,0.508
"Lang-60","randoop",6,120,124.2,0.875,0.809,0.567
"Lang-63","randoop",6,120,238.4,0.681,0.654,0.442
"Lang-65","randoop",6,120,123.8,0.855,0.691,0.339
"Math-103","randoop",6,120,126.1,0.976,0.944,0.824
"Math-106","randoop",6,120,124.2,0.555,0.368,0.043
"Math-18","randoop",6,120,128.7,0.069,0.007,0
"Math-20","randoop",6,120,126.7,0.067,0.007,0
"Math-21","randoop",6,120,134.8,0.781,0.75,0.284
"Math-2","randoop",6,120,131.6,1,1,0.972
"Math-39","randoop",6,120,130.8,0.296,0,0.043
"Math-44","randoop",6,120,127.9,0.325,0.086,0.097
"Math-52","randoop",6,120,123.8,0.605,0.295,0.058
"Math-56","randoop",6,120,126.1,0.214,0.156,0.101
"Math-64","randoop",6,120,124.4,0.102,0,0.001
"Math-67","randoop",6,120,124.8,0,0,0
"Math-7","randoop",6,120,127,0.291,0.068,0.109
"Math-88","randoop",6,120,125.3,0.106,0.044,0.01
"Math-91","randoop",6,120,141,0.879,0.733,0.539
"Math-93","randoop",6,120,125.7,0.768,0.713,0.609
"Time-10","randoop",6,120,126.3,0.75,0.721,0.368
"Time-11","randoop",6,120,126.6,0.189,0.134,0.036
"Time-13","randoop",6,120,125.7,0.745,0.597,0.278
"Time-20","randoop",6,120,126.2,0.656,0.517,0.207
"Time-23","randoop",6,120,127.1,0.781,0.654,0.44
"Time-3","randoop",6,120,126.1,0.772,0.708,0.309
"Time-4","randoop",6,120,126.5,0.546,0.372,0.109
"Time-5","randoop",6,120,127.3,0.754,0.567,0.032
"Time-7","randoop",6,120,126.8,0.852,0.753,0.208
"Time-8","randoop",6,120,125.7,0.759,0.614,0.401
"Chart-11","t3",6,120,47.3,0.71,0.579,0.122
"Chart-12","t3",6,120,117.7,0.495,0.454,0.158
"Chart-16","t3",6,120,59.1,0.412,0.32,0.222
"Chart-17","t3",6,120,120.5,0.927,0.882,0.545
"Chart-1","t3",6,120,10.3,0,0,0
"Chart-20","t3",6,120,73.9,0.863,0.77,0.545
"Chart-23","t3",6,120,119.6,0.31,0.202,0.083
"Chart-24","t3",6,120,14.2,1,1,0.927
"Chart-25","t3",6,120,120,0.128,0.087,0.013
"Chart-26","t3",6,120,10.4,0,0,0
"Chart-2","t3",6,120,120.2,0.519,0.42,0.331
"Chart-3","t3",6,120,121.3,0.94,0.864,0.528
"Chart-4","t3",6,120,125.9,0.354,0.25,0.135
"Chart-6","t3",6,120,25.4,0.5,0.5,0.25
"Chart-7","t3",6,120,57.8,0.969,0.944,0.604
"Chart-9","t3",6,120,121,0.913,0.861,0.478
"Closure-100","t3",6,120,130.5,0.133,0.053,0.073
"Closure-124","t3",6,120,119.5,0.094,0.044,0.027
"Closure-130","t3",6,120,141.9,0.05,0.02,0
"Closure-132","t3",6,120,23,0,0,0
"Closure-14","t3",6,120,131.9,0.283,0.215,0.199
"Closure-16","t3",6,120,116.7,0.173,0.056,0.069
"Closure-20","t3",6,120,23,0,0,0
"Closure-46","t3",6,120,41.4,0.068,0,0
"Closure-68","t3",6,120,78.1,0.155,0.087,0.045
"Closure-74","t3",6,120,73.7,0.065,0.036,0.012
"Closure-98","t3",6,120,127.7,0.224,0.106,0.125
"Closure-99","t3",6,120,125.9,0.185,0.077,0.083
"Lang-28","t3",6,120,13.5,0.12,0.187,0.154
"Lang-33","t3",6,120,7.9,0,0,0
"Lang-36","t3",6,120,33.4,0.894,0.739,0.383
"Lang-37","t3",6,120,92.9,0.985,0.98,0.963
"Lang-41","t3",6,120,7.2,0,0,0
"Lang-43","t3",6,120,42.4,0.122,0.01,0
"Lang-47","t3",6,120,119.4,0.985,0.965,0.887
"Lang-50","t3",6,120,84.5,0.943,0.897,0.665
"Lang-57","t3",6,120,15.8,0.877,0.71,0.425
"Lang-58","t3",6,120,40.1,0.908,0.781,0.454
"Lang-59","t3",6,120,119,0.989,0.974,0.88
"Lang-60","t3",6,120,118.8,0.989,0.975,0.864
"Lang-63","t3",6,120,128,0.762,0.724,0.67
"Lang-65","t3",6,120,34.7,0.951,0.899,0.554
"Math-103","t3",6,120,26.6,0.976,0.944,0.813
"Math-106","t3",6,120,77,0.682,0.578,0.369
"Math-18","t3",6,120,131.4,0.047,0.004,0.001
"Math-20","t3",6,120,131.3,0.047,0.004,0.002
"Math-21","t3",6,120,129.5,0,0,0
"Math-2","t3",6,120,57.8,1,1,0.792
"Math-39","t3",6,120,9.3,0,0,0
"Math-44","t3",6,120,10.5,0,0,0
"Math-52","t3",6,120,66.9,0.735,0.476,0.572
"Math-56","t3",6,120,51,0.952,0.953,0.769
"Math-64","t3",6,120,38.5,0.258,0.132,0.026
"Math-67","t3",6,120,128.6,0.875,0.764,0.477
"Math-7","t3",6,120,11.6,0,0,0
"Math-88","t3",6,120,74.3,0.106,0.044,0.01
"Math-91","t3",6,120,35.3,0.934,0.835,0.621
"Math-93","t3",6,120,139.6,0.245,0.223,0.165
"Time-10","t3",6,120,7.5,0,0,0
"Time-11","t3",6,120,70,0.567,0.448,0.173
"Time-13","t3",6,120,129,0.575,0.412,0.215
"Time-20","t3",6,120,119,0.817,0.707,0.361
"Time-23","t3",6,120,8.5,0,0,0
"Time-3","t3",6,120,124.9,0.806,0.682,0.385
"Time-4","t3",6,120,91.1,0.991,0.985,0.81
"Time-5","t3",6,120,128.8,0.932,0.799,0.55
"Time-7","t3",6,120,116.7,0.346,0.215,0.117
"Time-8","t3",6,120,8.7,0,0,0
"Chart-11","evosuite",6,120,121.4,0.92,0.827,0.279
"Chart-12","evosuite",6,120,120.9,0.62,0.533,0.196
"Chart-16","evosuite",6,120,118.7,0.827,0.781,0.485
"Chart-17","evosuite",6,120,120.2,0.83,0.742,0.327
"Chart-1","evosuite",6,120,124.3,0.368,0.263,0.121
"Chart-20","evosuite",6,120,104.1,0.954,0.875,0.818
"Chart-23","evosuite",6,120,117.8,0.441,0.366,0.084
"Chart-24","evosuite",6,120,100.2,1,1,0.653
"Chart-25","evosuite",6,120,112.9,0.134,0.088,0.018
"Chart-26","evosuite",6,120,126.7,0.637,0.568,0.17
"Chart-2","evosuite",6,120,128.1,0.18,0.159,0.073
"Chart-3","evosuite",6,120,122.2,0.787,0.646,0.338
"Chart-4","evosuite",6,120,132.5,0.481,0.325,0.172
"Chart-6","evosuite",6,120,113.8,0.549,0.489,0.238
"Chart-7","evosuite",6,120,121.3,0.953,0.891,0.639
"Chart-9","evosuite",6,120,120.7,0.798,0.697,0.315
"Closure-100","evosuite",6,120,120.8,0.425,0.217,0.181
"Closure-124","evosuite",6,120,105.5,0.128,0.024,0.025
"Closure-130","evosuite",6,120,118,0.112,0.036,0.004
"Closure-132","evosuite",6,120,119.4,0.133,0.047,0.088
"Closure-14","evosuite",6,120,115.9,0.105,0.014,0.035
"Closure-16","evosuite",6,120,109.3,0.182,0.056,0.04
"Closure-20","evosuite",6,120,119,0.127,0.047,0.085
"Closure-46","evosuite",6,120,97.5,0.022,0,0
"Closure-68","evosuite",6,120,126.5,0.174,0.123,0.044
"Closure-74","evosuite",6,120,118.9,0.057,0.002,0.02
"Closure-98","evosuite",6,120,114.5,0.353,0.089,0.091
"Closure-99","evosuite",6,120,118.2,0.433,0.201,0.169
"Lang-28","evosuite",6,120,94.8,0.233,0.27,0.177
"Lang-33","evosuite",6,120,118.8,0.819,0.61,0.393
"Lang-36","evosuite",6,120,119.8,0.861,0.707,0.361
"Lang-37","evosuite",6,120,124.1,0.835,0.664,0.35
"Lang-41","evosuite",6,120,118.3,0.847,0.655,0.442
"Lang-43","evosuite",6,120,114.4,0.54,0.378,0.165
"Lang-47","evosuite",6,120,127.2,0.819,0.722,0.321
"Lang-50","evosuite",6,120,126.9,0.535,0.434,0.229
"Lang-57","evosuite",6,120,112.2,0.864,0.708,0.391
"Lang-58","evosuite",6,120,119.4,0.822,0.658,0.332
"Lang-59","evosuite",6,120,125.4,0.799,0.713,0.311
"Lang-60","evosuite",6,120,126.5,0.809,0.728,0.34
"Lang-63","evosuite",6,120,121.5,0.847,0.825,0.203
"Lang-65","evosuite",6,120,118.9,0.892,0.813,0.356
"Math-103","evosuite",6,120,102.2,0.857,0.777,0.628
"Math-106","evosuite",6,120,101.7,0.801,0.701,0.322
"Math-18","evosuite",6,120,130.7,0.861,0.722,0.29
"Math-20","evosuite",6,120,126.3,0.873,0.718,0.359
"Math-21","evosuite",6,120,114.2,0.696,0.702,0.325
"Math-2","evosuite",6,120,117.9,0.982,0.961,0.847
"Math-39","evosuite",6,120,119.4,0.671,0.361,0.172
"Math-44","evosuite",6,120,121.1,0.626,0.507,0.326
"Math-52","evosuite",6,120,121.8,0.812,0.59,0.588
"Math-56","evosuite",6,120,121,0.992,0.958,0.561
"Math-64","evosuite",6,120,117.9,0.409,0.276,0.058
"Math-67","evosuite",6,120,122.1,0.887,0.906,0.522
"Math-7","evosuite",6,120,120.2,0.589,0.393,0.325
"Math-88","evosuite",6,120,119.3,0.839,0.748,0.415
