benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"GDATA-1","manual",6,1500,0.6,0.3092,0.3171,0.375
"GDATA-2","manual",6,1200,0.6,0.5243,0.4,0.4369
"GDATA-3","manual",6,960,0.6,0.3995,0.3409,0.2826
"GDATA-4","manual",6,780,0.6,0.3941,0.4189,0.2
"GDATA-5","manual",6,600,0.6,0.1266,0.1136,0.15
"GDATA-6","manual",6,540,0.6,0.2597,0.25,0.1667
"GDATA-7","manual",6,1200,0.6,0.2243,0.2273,0.1913
"JMLL-8","manual",6,1243.8,0.6,0.9702,0.9286,0.6563
"JMLL-9","manual",6,1570.2,0.6,1,0,0.7419
"JMLL-10","manual",6,1704,0.6,0.9576,0.9,0.5323
"JMLL-11","manual",6,1486.2,0.6,0.875,0.875,0.6774
"JMLL-12","manual",6,1032,0.6,0.8639,0.8,0.5625
"JMLL-13","manual",6,3214.8,0.6,0.9186,0.8125,0.6471
"JMLL-14","manual",6,540,0.6,0.9746,1,0.5
"TWITTER4J-15","manual",6,1320,0.6,0.5242,0.6667,0.4
"TWITTER4J-16","manual",6,1200,0.6,0.4362,0.4583,0.5079
"TWITTER4J-17","manual",6,600,0.6,0.5305,0.463,0.3378
"TWITTER4J-18","manual",6,1320,0.6,0.4942,0.5278,0.4133
"TWITTER4J-19","manual",6,1020,1.8,0.2796,0.2451,0.2286
"TWITTER4J-20","manual",6,1800,0.6,0.5311,0.449,0.5422
"TWITTER4J-21","manual",6,900,9,0.0407,0.125,0.0108
"ECLIPSECS-22","manual",6,1300.8,0.6,0.62,0.25,0.3
"ECLIPSECS-23","manual",6,4447.8,0.6,0.8844,0.8667,1
"ECLIPSECS-24","manual",6,2323.2,0.6,0.5524,0.5714,0.2093
"ECLIPSECS-25","manual",6,1912.2,0.6,0.7688,0.3846,0.42
"ECLIPSECS-26","manual",6,2860.8,0.6,0.816,0.7308,0.617
"ECLIPSECS-27","manual",6,4101,0.6,0.7722,0.51,0.6066
"ECLIPSECS-28","manual",6,2539.2,0.6,0.9636,0.9231,0.9048
"GUAVA-29","manual",6,1020,0.6,0.6321,0.5707,0.486
"GUAVA-30","manual",6,900,0.6,0.618,0.6522,0.4681
