benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"GUAVA-31","manual",6,660,0.6,0.603,0.6111,0.4595
"GUAVA-32","manual",6,1800,0.6,0.374,0.2708,0.2566
"GUAVA-33","manual",6,720,0.6,0.6346,0.4615,0.2083
"GUAVA-34","manual",6,1020,0.6,0.8486,0.7308,0.6703
"GUAVA-35","manual",6,540,0.6,0.7801,0.5417,0.5909
"HIBERNATE-36","manual",6,154.8,0.6,1,0,0
"HIBERNATE-37","manual",6,120,0.6,1,0,1
"HIBERNATE-38","manual",6,3127.2,0.6,1,0.9375,0.9333
"HIBERNATE-39","manual",6,655.8,0.6,1,1,1
"HIBERNATE-40","manual",6,319.8,0.6,1,1,1
"HIBERNATE-41","manual",6,312,0.6,0.9063,0,1
"HIBERNATE-42","manual",6,316.2,0.6,1,0,0.3333
"JWPL-43","manual",6,600,0.6,0.8925,0.6667,0.6538
"JWPL-44","manual",6,2700,0.6,0.9133,0.7714,0.6975
"JWPL-45","manual",6,1200,1.8,0,0,0
"JWPL-46","manual",6,1560,0.6,0.4901,0.4286,0.4583
"JWPL-47","manual",6,1200,0.6,0.4536,0.186,0.0222
"JWPL-48","manual",6,600,0.6,0.8951,0.875,0.5
"JWPL-49","manual",6,2100,0.6,0.2493,0.18,0.209
"ASYNCHTTP-50","manual",6,1200,1.2,0.4447,0.3571,0.4154
"ASYNCHTTP-51","manual",6,1200,0.6,0.7892,0.4333,0.1909
"ASYNCHTTP-52","manual",6,600,0.6,0.5633,0.5094,0.4444
"ASYNCHTTP-53","manual",6,900,0.6,0.5382,0.4651,0.3953
"ASYNCHTTP-54","manual",6,1800,0.6,0.8181,0.4153,0.5424
"ASYNCHTTP-55","manual",6,780,0.6,0.3878,0.2459,0.2393
"ASYNCHTTP-56","manual",6,1140,1.2,0.2968,0.2951,0.1565
"SCRIBE-57","manual",6,900,0.6,0.9114,1,1
"SCRIBE-58","manual",6,1200,0.6,1,1,0.8
"SCRIBE-59","manual",6,1800,0.6,0.9671,0.8889,0.8261
"SCRIBE-60","manual",6,1260,0.6,0.734,0.5455,0.3721
"SCRIBE-61","manual",6,1080,0.6,0.9469,0.6,0.8235
"SCRIBE-62","manual",6,780,0.6,1,0.875,0.8636
"SCRIBE-63","manual",6,1020,0.6,1,0,1
"GDATA-1","randoop",6,100.2,0,0,0,0
"GDATA-2","randoop",6,102.6,12.6,0.9248,0.7714,0.0014
"GDATA-3","randoop",6,100.2,0.6,0.0521,0,0
"GDATA-4","randoop",6,101.4,1.8,0.2119,0.0946,0.2667
"GDATA-5","randoop",6,101.4,3,0.1689,0.0909,0.275
"GDATA-6","randoop",6,102.6,10.8,0.1558,0,0.25
"GDATA-7","randoop",6,101.4,1.2,0.2724,0.1591,0.2348
"JMLL-8","randoop",6,100.2,0,0,0,0
"JMLL-9","randoop",6,100.8,0.6,1,0,0.9355
"JMLL-10","randoop",6,101.4,0,0,0,0
"JMLL-11","randoop",6,101.4,1.2,0.9457,0.875,0
"JMLL-12","randoop",6,100.2,0,0,0,0
"JMLL-13","randoop",6,101.4,1.2,0.9488,0.75,0
"JMLL-14","randoop",6,100.2,0.6,0.0254,0,0
"TWITTER4J-15","randoop",6,100.2,0,0,0,0
"TWITTER4J-16","randoop",6,101.4,3,0.4973,0.4792,0.5238
"TWITTER4J-17","randoop",6,100.8,0.6,0.4905,0.3519,0.2568
"TWITTER4J-18","randoop",6,101.4,3.6,0.5659,0.5278,0.4933
"TWITTER4J-19","randoop",6,100.2,0,0,0,0
"TWITTER4J-20","randoop",6,101.4,1.8,0.5952,0.4184,0.5542
"TWITTER4J-21","randoop",6,100.2,0,0,0,0
"ECLIPSECS-22","randoop",6,100.2,0,0,0,0
"ECLIPSECS-23","randoop",6,100.2,0,0,0,0
"ECLIPSECS-24","randoop",6,100.2,0.6,0.0053,0,0
"ECLIPSECS-25","randoop",6,102,6,0.8217,0.6154,0.66
"ECLIPSECS-26","randoop",6,100.2,0,0,0,0
"ECLIPSECS-27","randoop",6,100.2,0,0,0,0
"ECLIPSECS-28","randoop",6,100.8,0.6,0.5425,0.6154,0.619
"GUAVA-29","randoop",6,100.2,0,0,0,0
"GUAVA-30","randoop",6,101.4,1.2,0.6052,0.6087,0.5745
"GUAVA-31","randoop",6,100.8,0.6,0.3034,0.3889,0.2432
"GUAVA-32","randoop",6,101.4,0.6,0.2909,0.0625,0.1062
"GUAVA-33","randoop",6,100.2,0,0,0,0
"GUAVA-34","randoop",6,101.4,1.2,0.7904,0.7115,0.5934
"GUAVA-35","randoop",6,101.4,0.6,0.2199,0.0833,0.1136
"HIBERNATE-36","randoop",6,100.8,1.2,1,0,0
"HIBERNATE-37","randoop",6,100.2,0.6,1,0,0
"HIBERNATE-38","randoop",6,100.2,0.6,0.0226,0,0
"HIBERNATE-39","randoop",6,100.2,0,0,0,0
"HIBERNATE-40","randoop",6,100.2,0,0,0,0
"HIBERNATE-41","randoop",6,100.2,0.6,0.5625,0,0.5
"HIBERNATE-42","randoop",6,100.2,0.6,0.7083,0,0.3333
"JWPL-43","randoop",6,100.2,0,0,0,0
"JWPL-44","randoop",6,100.2,0,0,0,0
"JWPL-45","randoop",6,100.2,0,0,0,0
"JWPL-46","randoop",6,100.2,0,0,0,0
"JWPL-47","randoop",6,100.2,0,0,0,0
"JWPL-48","randoop",6,103.2,10.8,0.5864,0.625,0.8571
"JWPL-49","randoop",6,100.2,0,0,0,0
"ASYNCHTTP-50","randoop",6,101.4,4.2,0.3986,0.25,0
"ASYNCHTTP-51","randoop",6,100.2,0,0,0,0
"ASYNCHTTP-52","randoop",6,100.8,0.6,0.886,0.6563,0.7359
"ASYNCHTTP-53","randoop",6,101.4,0.6,0.8668,0.6395,0.7326
"ASYNCHTTP-54","randoop",6,100.2,0,0,0,0
"ASYNCHTTP-55","randoop",6,100.2,0,0,0,0
"ASYNCHTTP-56","randoop",6,100.8,0,0,0,0
"SCRIBE-57","randoop",6,102.6,11.4,0.6835,0.5,0.8889
"SCRIBE-58","randoop",6,100.2,0,0,0,0
"SCRIBE-59","randoop",6,101.4,1.8,0.8451,0.8333,0.8696
"SCRIBE-60","randoop",6,100.2,0,0,0,0
"SCRIBE-61","randoop",6,100.2,0,0,0,0
"SCRIBE-62","randoop",6,102.6,9,0.8992,0.875,0.7273
"SCRIBE-63","randoop",6,100.8,0.6,1,0,0.5
"GDATA-1","grt",6,24,0.6,0.0254,0,0
"GDATA-2","grt",6,270,31.2,0.9423,0.8476,0.6068
"GDATA-3","grt",6,229.2,16.8,0.6749,0.6591,0.6268
"GDATA-4","grt",6,256.2,16.2,0.7413,0.7005,0.55
"GDATA-5","grt",6,263.4,12.6,0.4248,0.3864,0.3
"GDATA-6","grt",6,306,13.8,0.7561,0.7917,0.4583
"GDATA-7","grt",6,288.6,9,0.3501,0.2348,0.2565
"JMLL-8","grt",6,226.8,22.8,0.9231,0.7143,0.7917
"JMLL-9","grt",6,250.2,9.6,1,0,1
"JMLL-10","grt",6,231,10.2,0.4881,0.375,0.4194
"JMLL-11","grt",6,331.2,19.2,1,1,0.8871
"JMLL-12","grt",6,136.2,0,0,0,0
"JMLL-13","grt",6,378,21.6,0.9837,0.875,0.7353
"JMLL-14","grt",6,294.6,12.6,0.3898,0.25,0.2222
"TWITTER4J-15","grt",6,165,55.2,0,0,0
"TWITTER4J-16","grt",6,258.6,13.2,0.9335,0.8056,0.7725
"TWITTER4J-17","grt",6,409.8,13.8,0.9733,0.8488,0.6734
"TWITTER4J-18","grt",6,330,31.2,0.9948,0.9722,0.7911
"TWITTER4J-19","grt",6,184.2,0.6,0,0,0
"TWITTER4J-20","grt",6,549.6,14.4,0.7535,0.6429,0.6707
"TWITTER4J-21","grt",6,198.6,0.6,0.0019,0,0
"ECLIPSECS-22","grt",6,124.2,42.6,0.435,0.0833,0.0167
"ECLIPSECS-23","grt",6,250.2,57,0.1905,0.1,0
"ECLIPSECS-24","grt",6,416.4,30,0.3659,0,0.0465
"ECLIPSECS-25","grt",6,365.4,18,0.9253,0.8077,0.5133
"ECLIPSECS-26","grt",6,540,13.8,0.9018,0.8782,0.6418
"ECLIPSECS-27","grt",6,634.2,8.4,0.2658,0.11,0.2951
"ECLIPSECS-28","grt",6,612.6,70.2,0.9393,0.9615,0.8254
"GUAVA-29","grt",6,181.2,12,0.8455,0.8202,0.615
"GUAVA-30","grt",6,204.6,9.6,0.8455,0.8696,0.9787
"GUAVA-31","grt",6,279,16.2,1,0.9907,1
"GUAVA-32","grt",6,315,13.2,0.5465,0.4444,0.4661
"GUAVA-33","grt",6,258,20.4,0.9816,0.9679,0.7431
"GUAVA-34","grt",6,268.2,16.8,0.9539,0.891,0.6685
"GUAVA-35","grt",6,283.8,13.8,0.4634,0.2083,0.2727
"HIBERNATE-36","grt",6,181.8,12.6,1,0,0
"HIBERNATE-37","grt",6,169.2,0.6,1,0,0
"HIBERNATE-38","grt",6,191.4,7.8,0.3008,0.0625,0.3333
"HIBERNATE-39","grt",6,210,10.8,0.8974,1,0.5
"HIBERNATE-40","grt",6,221.4,10.2,0.8974,1,0.5
"HIBERNATE-41","grt",6,205.2,0.6,0.5625,0,0.5
"HIBERNATE-42","grt",6,244.8,14.4,1,0,0.3333
"JWPL-43","grt",6,136.2,0,0,0,0
"JWPL-44","grt",6,167.4,76.8,0.1836,0,0
"JWPL-45","grt",6,330,66.6,0.0149,0.06,0
"JWPL-46","grt",6,310.2,3,0.1126,0,0
"JWPL-47","grt",6,139.2,0,0,0,0
"JWPL-48","grt",6,502.2,26.4,0.784,0.7708,1
"JWPL-49","grt",6,338.4,0.6,0.0858,0.0733,0.01
"ASYNCHTTP-50","grt",6,177,15.6,0.7162,0.5833,0.6667
"ASYNCHTTP-51","grt",6,187.2,13.2,0.9517,0.5444,0.8455
"ASYNCHTTP-52","grt",6,195.6,6,0.9523,0.9041,0.9057
"ASYNCHTTP-53","grt",6,202.8,6.6,0.9612,0.9205,0.938
"ASYNCHTTP-54","grt",6,307.8,12,0.9295,0.5946,0.8437
"ASYNCHTTP-55","grt",6,225,12,0.7162,0.5464,0.4264
"ASYNCHTTP-56","grt",6,350.4,15.6,0.744,0.4098,0.5828
"SCRIBE-57","grt",6,187.2,16.8,0.6835,0.5,0.8889
"SCRIBE-58","grt",6,18.6,0,0,0,0
"SCRIBE-59","grt",6,197.4,10.8,0.9155,0.9444,0.9565
"SCRIBE-60","grt",6,18.6,0,0,0,0
"SCRIBE-61","grt",6,90,0.6,0.0177,0,0
"SCRIBE-62","grt",6,271.2,22.2,0.9916,0.9688,0.9091
"SCRIBE-63","grt",6,399.6,49.8,1,0,0.5
"GDATA-1","evosuite",6,596.4,1.8,0.9256,0.9289,0.625
"GDATA-2","evosuite",6,217.2,1.2,0.8331,0.7167,0.8625
"GDATA-3","evosuite",6,241.8,2.4,0.5707,0.4886,0.4674
"GDATA-4","evosuite",6,670.2,4.8,0.7494,0.7275,0.6306
"GDATA-5","evosuite",6,216,2.4,0.5646,0.4924,0.6458
"GDATA-6","evosuite",6,537.6,2.4,0.8975,0.8512,0.2917
"GDATA-7","evosuite",6,625.8,3,0.6437,0.6307,0.1623
"JMLL-8","evosuite",6,198.6,1.2,0.1328,0.0536,0
"JMLL-9","evosuite",6,16.8,1.2,1,0,1
"JMLL-10","evosuite",6,232.2,1.2,0.9531,0.975,0.578
"JMLL-11","evosuite",6,235.2,1.2,0.9887,1,1
"JMLL-12","evosuite",6,284.4,1.2,0.9144,0.9667,0.7917
"JMLL-13","evosuite",6,183.6,1.2,0.9837,0.875,0.9706
"JMLL-14","evosuite",6,148.2,1.2,0.7542,0.7083,0.4815
"TWITTER4J-15","evosuite",6,228.6,0.6,0,0,0
"TWITTER4J-16","evosuite",6,228,0.6,0,0,0
"TWITTER4J-17","evosuite",6,268.2,0.6,0,0,0
"TWITTER4J-18","evosuite",6,201,0.6,0,0,0
"TWITTER4J-19","evosuite",6,688.8,0.6,0,0,0
"TWITTER4J-20","evosuite",6,307.2,0.6,0,0,0
"TWITTER4J-21","evosuite",6,981,0.6,0,0,0
"ECLIPSECS-22","evosuite",6,136.8,1.8,0.77,0.5,0.3
"ECLIPSECS-23","evosuite",6,181.2,1.2,0.5374,0.5,0.4091
"ECLIPSECS-24","evosuite",6,165,2.4,0.675,0.5,0.186
"ECLIPSECS-25","evosuite",6,330,1.8,0.9708,0.9167,0.8067
"ECLIPSECS-26","evosuite",6,176.4,1.8,0.8862,0.8526,0.9184
"ECLIPSECS-27","evosuite",6,849.6,5.4,0.7263,0.5033,0.2404
"ECLIPSECS-28","evosuite",6,201,1.8,0.9399,0.9231,0.9048
"GUAVA-29","evosuite",6,1879.2,0,0,0,0
"GUAVA-30","evosuite",6,202.2,1.8,0.8652,0.971,0.7979
"GUAVA-31","evosuite",6,157.8,1.8,0.9813,0.9537,0.9459
"GUAVA-32","evosuite",6,249.6,1.2,0.4439,0.2188,0.3068
"GUAVA-33","evosuite",6,243.6,1.2,0.976,0.9231,0
"GUAVA-34","evosuite",6,292.8,1.2,0.9435,0.9135,0.7656
"GUAVA-35","evosuite",6,184.2,1.2,0.6038,0.5833,0.5606
"HIBERNATE-36","evosuite",6,15.6,0.6,0,0,0
"HIBERNATE-37","evosuite",6,14.4,0.6,0,0,0
"HIBERNATE-38","evosuite",6,459,0.6,0,0,0
"HIBERNATE-39","evosuite",6,136.8,0.6,0,0,0
"HIBERNATE-40","evosuite",6,136.8,0.6,0,0,0
"HIBERNATE-41","evosuite",6,16.2,0.6,0,0,0
"HIBERNATE-42","evosuite",6,15,0.6,0,0,0
"JWPL-43","evosuite",6,150.6,3,0.0824,0,0
"JWPL-44","evosuite",6,1921.2,0,0,0,0
"JWPL-45","evosuite",6,165,3.6,0.0149,0.06,0.0267
"JWPL-46","evosuite",6,225.6,3.6,0.4772,0.4683,0.3854
"JWPL-47","evosuite",6,180.6,3,0.1857,0.093,0
"JWPL-48","evosuite",6,178.8,1.2,0.8951,0.8333,0.9881
"JWPL-49","evosuite",6,1921.2,0,0,0,0
"ASYNCHTTP-50","evosuite",6,408.6,3,0.6751,0.6389,0.6308
"ASYNCHTTP-51","evosuite",6,614.4,3.6,0.9373,0.6111,0.8303
"ASYNCHTTP-52","evosuite",6,335.4,1.2,0.9872,0.9513,0.8721
"ASYNCHTTP-53","evosuite",6,240,1.2,0.9876,0.9438,0.8605
"ASYNCHTTP-54","evosuite",6,480,1.2,0.9755,0.952,0.8993
"ASYNCHTTP-55","evosuite",6,483.6,1.8,0.9396,0.8989,0.4305
"ASYNCHTTP-56","evosuite",6,1880.4,36,0.3264,0.2077,0
"SCRIBE-57","evosuite",6,34.8,1.2,1,1,1
"SCRIBE-58","evosuite",6,209.4,1.2,1,1,0.8
"SCRIBE-59","evosuite",6,159,1.2,0.9961,0.9907,0.913
"SCRIBE-60","evosuite",6,190.8,1.2,0.6215,0.4091,0.2868
"SCRIBE-61","evosuite",6,132,0,0,0,0
"SCRIBE-62","evosuite",6,141,1.2,1,1,0.7727
"SCRIBE-63","evosuite",6,7.2,1.2,1,0,0.5
"GDATA-1","mosa",6,35.4,12,0.7483,0.7256,0.4022
"GDATA-1","t3",6,8.4,25.2,0.5081,0.5467,0.5337
"GDATA-2","mosa",6,23.4,10.2,0.7072,0.5786,0.6359
"GDATA-2","t3",6,6,21,0.6192,0.5286,0.1553
"GDATA-3","mosa",6,57,2.4,0.4322,0.3939,0.4058
"GDATA-3","t3",6,7.2,41.4,0.2084,0.0682,0.1304
"GDATA-4","mosa",6,95.4,12.6,0.7605,0.732,0.3611
"GDATA-4","t3",6,9,28.2,0.57,0.4369,0.4361
"GDATA-5","mosa",6,40.2,5.4,0.4178,0.3977,0.3292
"GDATA-5","t3",6,9,28.2,0.5699,0.5,0.6
"GDATA-6","mosa",6,36.6,6,0.7835,0.7679,0.5069
"GDATA-6","t3",6,7.2,24,0.6407,0.5,0.4583
"GDATA-7","mosa",6,80.4,12,0.5018,0.4527,0.2507
"GDATA-7","t3",6,10.2,31.2,0.4774,0.375,0.4812
"JMLL-8","mosa",6,127.8,4.8,0.8797,0.6845,0.6354
"JMLL-8","t3",6,9,21,0.8486,0.6429,0.7083
"JMLL-9","mosa",6,4.8,1.8,0.8821,0,0.5
"JMLL-9","t3",6,12,27.6,1,0,1
"JMLL-10","mosa",6,53.4,4.8,0.7268,0.7417,0.3548
"JMLL-10","t3",6,3,16.8,0.8625,0.7542,0.6398
"JMLL-11","mosa",6,124.8,6.6,0.7853,0.8333,0.672
"JMLL-11","t3",6,15.6,25.2,0.8551,0.5885,0.6828
"JMLL-12","mosa",6,18,7.2,0.8668,0.8833,0.7708
"JMLL-12","t3",6,4.2,17.4,0.6837,0.5,0.5625
"JMLL-13","mosa",6,35.4,7.2,0.9547,0.849,0.6691
"JMLL-13","t3",6,7.2,19.8,0.9233,0.6563,0.8064
"JMLL-14","mosa",6,181.8,0.6,0.0254,0,0
"JMLL-14","t3",6,3.6,17.4,0.3898,0.25,0.1667
"TWITTER4J-15","mosa",6,182.4,0.6,0,0,0
"TWITTER4J-15","t3",6,1.8,10.8,0.9163,0.713,0.7095
"TWITTER4J-16","mosa",6,25.2,9,0.9783,0.8958,0.7646
"TWITTER4J-16","t3",6,4.8,21,0.8085,0.4375,0.6984
"TWITTER4J-17","mosa",6,37.8,7.2,0.9402,0.784,0.1329
"TWITTER4J-17","t3",6,16.8,40.8,0.8263,0.5,0.1757
"TWITTER4J-18","mosa",6,21,7.8,0.939,0.9306,0.6489
"TWITTER4J-18","t3",6,10.2,26.4,0.9322,0.75,0.8533
"TWITTER4J-19","mosa",6,120.6,1.2,0.0781,0.0294,0
"TWITTER4J-19","t3",6,1.2,0,0,0,0
"TWITTER4J-20","mosa",6,3.6,0,0,0,0
"TWITTER4J-20","t3",6,18,25.8,0.6012,0.352,0.1807
"TWITTER4J-21","mosa",6,88.8,0.6,0,0,0
"TWITTER4J-21","t3",6,900.6,0,0,0,0
"ECLIPSECS-22","mosa",6,182.4,1.8,0.77,0.5,0.3
"ECLIPSECS-22","t3",6,196.2,41.4,0.925,0.875,0
"ECLIPSECS-23","mosa",6,19.8,3,0.5204,0.45,0.4091
"ECLIPSECS-23","t3",6,1.8,17.4,0.5034,0.4333,0.4091
"ECLIPSECS-24","mosa",6,182.4,1.8,0.5497,0.5238,0.1628
"ECLIPSECS-24","t3",6,4.8,21,0.4476,0.2143,0.1395
"ECLIPSECS-25","mosa",6,24,4.2,0.2451,0.1923,0.2367
"ECLIPSECS-25","t3",6,25.8,37.2,0.8942,0.8782,0.7933
"ECLIPSECS-26","mosa",6,28.2,3.6,0.432,0.4679,0.5638
"ECLIPSECS-26","t3",6,169.8,19.2,0.2453,0.1154,0.1064
"ECLIPSECS-27","mosa",6,89.4,4.2,0.1862,0.0833,0.1913
"ECLIPSECS-27","t3",6,2.4,19.2,0.2563,0.11,0.2951
"ECLIPSECS-28","mosa",6,183.6,6.6,0.612,0.8397,0.5794
"ECLIPSECS-28","t3",6,8.4,25.8,0.8785,0.9231,0.9008
"GUAVA-29","mosa",6,758.4,4.8,0.2075,0.1667,0.1178
"GUAVA-29","t3",6,33.6,61.2,0.8748,0.8141,0.4218
"GUAVA-30","mosa",6,22.8,7.8,0.8305,0.942,0.8191
"GUAVA-30","t3",6,231.6,6,0,0,0
"GUAVA-31","mosa",6,16.8,6,0.9813,0.8241,0.9414
"GUAVA-31","t3",6,8.4,19.2,0.3221,0.4444,0.3514
"GUAVA-32","mosa",6,33.6,3.6,0.2212,0.1285,0.1519
"GUAVA-32","t3",6,45,39,0.1974,0.0833,0.0575
"GUAVA-33","mosa",6,219,2.4,0.9776,0.9359,0.6007
"GUAVA-33","t3",6,13.2,24,0.3942,0.1923,0.0625
"GUAVA-34","mosa",6,41.4,11.4,0.943,0.859,0.7418
"GUAVA-34","t3",6,18.6,6,0,0,0
"GUAVA-35","mosa",6,43.2,1.8,0.5384,0.4722,0.4205
"GUAVA-35","t3",6,20.4,41.4,0.4123,0.1597,0.3371
"HIBERNATE-36","mosa",6,6,0,0,0,0
"HIBERNATE-36","t3",6,15,27,1,0,0
"HIBERNATE-37","mosa",6,9.6,0.6,1,0,0
"HIBERNATE-37","t3",6,2.4,5.4,1,0,0
"HIBERNATE-38","mosa",6,241.2,3.6,0.4148,0.2813,0.5
"HIBERNATE-38","t3",6,19.8,28.2,0.3609,0.125,0.8667
"HIBERNATE-39","mosa",6,7.8,0.6,0.8974,1,0.625
"HIBERNATE-39","t3",6,2.4,9.6,0.6154,0.5,0.5
"HIBERNATE-40","mosa",6,7.2,0.6,0.8974,1,0.7083
"HIBERNATE-40","t3",6,2.4,9,0.6154,0.5,0.5
"HIBERNATE-41","mosa",6,189.6,0.6,0.0469,0,0
"HIBERNATE-41","t3",6,4.8,19.2,0.5625,0,0.5
"HIBERNATE-42","mosa",6,10.2,1.2,1,0,0.1111
"HIBERNATE-42","t3",6,5.4,30.6,1,0,0.3333
"JWPL-43","mosa",6,183,0.6,0.0824,0,0
"JWPL-43","t3",6,43.8,17.4,0.0824,0,0
"JWPL-44","mosa",6,33,0,0,0,0
"JWPL-44","t3",6,3,21,0.2579,0.0333,0
"JWPL-45","mosa",6,97.8,2.4,0.0149,0.06,0.0267
"JWPL-45","t3",6,7.2,15,0.0149,0.06,0.0267
"JWPL-46","mosa",6,116.4,7.2,0.5077,0.5714,0.3819
"JWPL-46","t3",6,6.6,19.2,0.5077,0.5873,0.5417
"JWPL-47","mosa",6,93.6,3,0.1857,0.093,0
"JWPL-47","t3",6,1.8,3.6,0.1008,0.0465,0
"JWPL-48","mosa",6,182.4,1.8,0.821,0.7917,1
"JWPL-48","t3",6,1.8,8.4,0.5844,0.5417,0.9286
"JWPL-49","mosa",6,66,0.6,0,0,0
"JWPL-49","t3",6,900.6,0,0,0,0
"ASYNCHTTP-50","mosa",6,397.2,11.4,0.5448,0.3958,0.4538
"ASYNCHTTP-50","t3",6,10.2,26.4,0.5507,0.4375,0.1564
"ASYNCHTTP-51","mosa",6,34.2,16.2,0.8012,0.5389,0.3591
"ASYNCHTTP-51","t3",6,11.4,43.2,0.9246,0.5778,0.8061
"ASYNCHTTP-52","mosa",6,39,10.8,0.7859,0.717,0.665
"ASYNCHTTP-52","t3",6,3.6,18,0.9237,0.8789,0.8838
"ASYNCHTTP-53","mosa",6,33,9,0.7863,0.7345,0.6957
"ASYNCHTTP-53","t3",6,3.6,17.4,0.929,0.8837,0.9089
"ASYNCHTTP-54","mosa",6,47.4,14.4,0.8811,0.5763,0.5938
"ASYNCHTTP-54","t3",6,5.4,33.6,0.5293,0.1511,0.2569
"ASYNCHTTP-55","mosa",6,31.8,0,0,0,0
"ASYNCHTTP-55","t3",6,12,62.4,0.8135,0.7036,0
"ASYNCHTTP-56","mosa",6,29.4,0,0,0,0
"ASYNCHTTP-56","t3",6,61.8,108.6,0.3182,0.0984,0.3265
"SCRIBE-57","mosa",6,5.4,1.8,0.8903,0.9167,0.537
"SCRIBE-57","t3",6,1.8,12.6,0.6835,0.5,0.8889
"SCRIBE-58","mosa",6,15.6,1.8,1,1,0.8
"SCRIBE-58","t3",6,40.8,36,0.8254,0.5,0.8
"SCRIBE-59","mosa",6,7.2,3.6,0.9836,0.963,0.8551
"SCRIBE-59","t3",6,3.6,19.8,0.9765,0.9444,1
"SCRIBE-60","mosa",6,23.4,4.2,0.5934,0.4318,0.3411
"SCRIBE-60","t3",6,36.6,33,0.5806,0.4091,0.3721
"SCRIBE-61","mosa",6,181.8,0.6,0,0,0
"SCRIBE-61","t3",6,1.2,0,0,0,0
"SCRIBE-62","mosa",6,6.6,3.6,0.9832,0.9271,0.8485
"SCRIBE-62","t3",6,1.8,13.8,0.8375,0.6771,0.8561
"SCRIBE-63","mosa",6,3.6,0.6,1,0,0.5
"SCRIBE-63","t3",6,1.2,3,1,0,0.75
"GDATA-1","jtexpert",6,204.6,9,0.5797,0.7073,0.4087
"GDATA-2","jtexpert",6,75.6,6,0.7706,0.65,0.6877
"GDATA-3","jtexpert",6,68.4,2.4,0.4367,0.3068,0.2319
"GDATA-4","jtexpert",6,183.6,6,0.7085,0.5563,0.1278
"GDATA-5","jtexpert",6,127.8,3,0.4006,0.3598,0.1083
"GDATA-6","jtexpert",6,124.2,3,0.6039,0.4107,0.1458
"GDATA-7","jtexpert",6,147.6,6,0.2679,0.0833,0.0652
"JMLL-8","jtexpert",6,93.6,2.4,0.7258,0.6071,0.2656
"JMLL-9","jtexpert",6,10.2,1.8,1,0,0.0591
"JMLL-10","jtexpert",6,166.2,1.8,0.3077,0.2458,0.1398
"JMLL-11","jtexpert",6,140.4,4.8,0.9139,0.8385,0.5403
"JMLL-12","jtexpert",6,183,2.4,0.3741,0.2833,0.1771
"JMLL-13","jtexpert",6,85.8,4.2,0.9814,0.849,0.5
"JMLL-14","jtexpert",6,30.6,0.6,0.3898,0.25,0.1759
"TWITTER4J-15","jtexpert",6,22.2,0.6,0,0,0
"TWITTER4J-16","jtexpert",6,10.2,3.6,0.9996,0.8611,0.4974
"TWITTER4J-17","jtexpert",6,39.6,4.2,0.9574,0.8364,0.4617
"TWITTER4J-18","jtexpert",6,37.2,4.2,0.9448,0.9491,0.4489
"TWITTER4J-19","jtexpert",6,201.6,16.8,0.457,0.4951,0.2841
"TWITTER4J-20","jtexpert",6,83.4,3,0.6511,0.415,0.3695
"TWITTER4J-21","jtexpert",6,245.4,78,0.1101,0.4716,0.0481
"ECLIPSECS-22","jtexpert",6,52.8,0.6,0,0,0
