tool,"benchmark","budget",runs,tgen,avgcovi,avgcovb,avgcovm
"bbc","FASTJSON-104",30,10,34.2788,0.85853656,0.685000004,0
"bbc","FASTJSON-104",120,10,125.9259,0.70365854,0.545,0
"bbc","FASTJSON-105",30,10,33.7333,0.89363059,0.768253985,0.707999984
"bbc","FASTJSON-105",120,10,109.7454,0.654777079,0.557142863,0
"bbc","FASTJSON-15",30,9,33.6324444444444,0.764990066666667,0.637860081111111,0.682249314444444
"bbc","FASTJSON-15",120,10,137.7411,0.742199494,0.641111125,0.079268295
"bbc","FASTJSON-17",30,10,30.5168,0.20833332,0.5,0.33333336
"bbc","FASTJSON-17",120,10,71.3477,0.65833335,0.7,0.7
"bbc","FASTJSON-19",30,10,32.0064,0.560294125,0.561363636,0.479310341
"bbc","FASTJSON-19",120,10,85.2235,0.455882349,0.474999996,0.07586207
"bbc","FASTJSON-25",30,10,32.093,0.846511615,0.558333338,0.075
"bbc","FASTJSON-25",120,10,154.5703,0.60232557,0.441666682,0.15
"bbc","FASTJSON-26",30,10,32.123,0.089898989,0.102380949,0.114492754
"bbc","FASTJSON-26",120,10,87.7131,0.263131313,0.245238107,0
"bbc","FASTJSON-31",30,10,37.1916,0.1382697975,0.0758793967,0.1143564334
"bbc","FASTJSON-31",120,10,115.2964,0.510410541,0.449748748,0.475495053
"bbc","FASTJSON-32",30,10,30.6294,0.301428575,0.321428575,0.240000016
"bbc","FASTJSON-32",120,10,79.1278,0.282857152,0.310714278,0.290000012
"bbc","FASTJSON-39",30,10,30.935,0.46666668,0.45,0.4827586
"bbc","FASTJSON-39",120,10,93.9523,0.764444452,0.785,0.420689654
"bbc","FASTJSON-4",30,10,31.0026,0.25,0.0625,0.11111112
"bbc","FASTJSON-4",120,10,94.4291,0.9722222,0.9875,0.19444444
"bbc","FASTJSON-49",30,10,30.6101,0.21428572,0.071428576,0.0142857152
"bbc","FASTJSON-49",120,10,83.3665,0.25714287,0.0642857184,0
"bbc","FASTJSON-50",30,10,35.9557,0.132101374,0.0729824545,0
"bbc","FASTJSON-50",120,10,76.7793,0.121964098,0.090175441,0
"bbc","FASTJSON-59",30,10,30.9551,0,0,0
"bbc","FASTJSON-59",120,10,97.0045,0.972042992,0.951612878,0.825641007
"bbc","FASTJSON-64",30,10,33.0461,0.47189189,0.399074067,0
"bbc","FASTJSON-64",120,10,106.3525,0.781621608,0.712962955,0
"bbc","FASTJSON-72",30,10,31.5775,0.19791668,0.15094339,0.20353981
"bbc","FASTJSON-72",120,10,117.2102,0.296354164,0.253773593,0
"bbc","FASTJSON-79",30,10,35.5703,0.78822395,0.660243904,0
"bbc","FASTJSON-79",120,10,96.8865,0.23880309,0.115365855,0
"bbc","FASTJSON-85",30,10,31.1219,0.08571429,0,0.05
"bbc","FASTJSON-85",120,10,92.8149,0.420000009,0.360000004,0.150000004
"bbc","FASTJSON-9",30,9,30.8541111111111,0.31578945,0.11111112,0.60000004
"bbc","FASTJSON-9",120,10,100.8848,0.136842102,0.222222224,0
"bbc","FASTJSON-93",30,10,30.7112,0,0,0
"bbc","FASTJSON-93",120,10,89.8221,0.979452025,0.9166667,0.680821922
"bbc","GUAVA-110",30,10,29.3647,0,0,0
"bbc","GUAVA-110",120,10,98.7943,0.97388888,0.953048765,1
"bbc","GUAVA-114",30,10,30.1162,0.945762711,0.80000002,0.97647058
"bbc","GUAVA-114",120,10,125.8977,0.854237286,0.73571431,0.88235294
"bbc","GUAVA-115",30,10,39.0425,0.321818178,0.184615389,0.302439025
"bbc","GUAVA-115",120,10,139.5739,0.24545454,0.103846157,0.209756104
"bbc","GUAVA-153",30,10,36.3117,0.209523816,0.1,0.022222224
"bbc","GUAVA-153",120,10,96.0846,0.400000017,0.3,0.038888891
"bbc","GUAVA-174",30,10,30.925,0.887341784,0.79999999,0.899999995
"bbc","GUAVA-174",120,10,101.2856,0.741772138,0.602777778,0.717647064
"bbc","GUAVA-197",30,10,29.1073,0.98933336,0.98653844,1
"bbc","GUAVA-197",120,10,95.7831,0.9,0.89615384,0.9
"bbc","GUAVA-21",30,10,61.0075,0,0,0
"bbc","GUAVA-21",120,10,112.6368,0.16923077,0.1,0.08695652
