benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"OKIO-4","t3",6,10,14.3,0,0,0
"OKIO-5","t3",6,10,11.5,0.565,0.328,0.331
"OKIO-6","t3",6,10,14.5,0.257,0.226,0.205
"OKIO-7","t3",6,10,14.2,0,0,0
"OKIO-8","t3",6,10,14.2,0.725,0.621,0.48
"OKIO-9","t3",6,10,4.2,0.6,0.423,0.282
"REDISSON-10","t3",6,10,8.4,0.776,0.59,0
"REDISSON-1","t3",6,10,12.8,0.061,0.111,0
"REDISSON-2","t3",6,10,5.2,0.076,0,0
"REDISSON-3","t3",6,10,10.1,0,0,0
"REDISSON-4","t3",6,10,6.1,0.077,0,0
"REDISSON-5","t3",6,10,5.4,0,0,0
"REDISSON-6","t3",6,10,5.3,0,0,0
"REDISSON-7","t3",6,10,3.1,0,0,0
"REDISSON-8","t3",6,10,5,0.715,0.541,0
"REDISSON-9","t3",6,10,4.1,0.713,0.56,0.046
"WEBMAGIC-1","t3",6,10,2.7,0,0,0
"WEBMAGIC-2","t3",6,10,2.6,0,0,0
"WEBMAGIC-3","t3",6,10,4.4,0.842,0.244,0.491
"WEBMAGIC-4","t3",6,10,14.3,0,0,0
"WEBMAGIC-5","t3",6,10,5.2,0.768,0.783,0.76
"ZXING-10","t3",6,10,4.9,0.609,0.591,0.474
"ZXING-1","t3",6,10,4.4,0.208,0.146,0.05
"ZXING-2","t3",6,10,13.2,0.121,0.101,0.077
"ZXING-3","t3",6,10,6,0.973,0.848,0.677
"ZXING-4","t3",6,10,4.4,0.925,0.93,0.198
"ZXING-5","t3",6,10,4.4,0.654,0.82,0.424
"ZXING-6","t3",6,10,4.4,0.761,0.64,0.392
"ZXING-7","t3",6,10,4.3,0.559,0.539,0.471
"ZXING-8","t3",6,10,4.4,0.365,0.461,0.291
"ZXING-9","t3",6,10,6.1,0.883,0.843,0.822
"DUBBO-10","evosuite",6,10,16,0.259,0.241,0.115
"DUBBO-2","evosuite",6,10,4.1,0,0,0
"DUBBO-3","evosuite",6,10,15.7,0.886,0.87,0.939
"DUBBO-4","evosuite",6,10,14.8,0.913,0.923,0.666
"DUBBO-5","evosuite",6,10,14.9,0.969,0.944,0.683
"DUBBO-6","evosuite",6,10,15.2,0.043,0.047,0.031
"DUBBO-7","evosuite",6,10,15,0.941,0.802,0.778
"DUBBO-8","evosuite",6,10,15.4,0.789,0.611,0.495
