benchmark,tool,runs,tgen,texec,avgcovi,avgcovb,avgcovm
"TWITTER4J-17","randoop",7,100.8,0.6,0.4905,0.3519,0.2568
"TWITTER4J-18","randoop",7,101.4,3.6,0.5659,0.5278,0.4933
"TWITTER4J-19","randoop",7,100.2,0,0,0,0
"TWITTER4J-20","randoop",7,101.4,1.8,0.5952,0.4184,0.5542
"TWITTER4J-21","randoop",7,100.2,0,0,0,0
"ASYNCHTTP-22","randoop",7,101.4,4.2,0.3986,0.25,0
"ASYNCHTTP-23","randoop",7,100.2,0,0,0,0
"ASYNCHTTP-24","randoop",7,100.8,0.6,0.886,0.6563,0.7359
"ASYNCHTTP-25","randoop",7,101.4,0.6,0.8668,0.6395,0.7326
"ASYNCHTTP-26","randoop",7,100.2,0,0,0,0
"ASYNCHTTP-27","randoop",7,100.2,0,0,0,0
"ASYNCHTTP-28","randoop",7,100.8,0,0,0,0
"GDATA-29","randoop",7,100.2,0,0,0,0
"GDATA-30","randoop",7,102.6,12.6,0.9248,0.7714,0.0014
"GDATA-31","randoop",7,100.2,0.6,0.0521,0,0
"GDATA-32","randoop",7,101.4,1.8,0.2119,0.0946,0.2667
"GDATA-33","randoop",7,101.4,3,0.1689,0.0909,0.275
"GDATA-34","randoop",7,102.6,10.8,0.1558,0,0.25
"GDATA-35","randoop",7,101.4,1.2,0.2724,0.1591,0.2348
"GUAVA-36","randoop",7,100.2,0,0,0,0
"GUAVA-37","randoop",7,101.4,1.2,0.6052,0.6087,0.5745
"GUAVA-38","randoop",7,100.8,0.6,0.3034,0.3889,0.2432
"GUAVA-39","randoop",7,101.4,0.6,0.2909,0.0625,0.1062
"GUAVA-40","randoop",7,100.2,0,0,0,0
"GUAVA-41","randoop",7,101.4,1.2,0.7904,0.7115,0.5934
"GUAVA-42","randoop",7,101.4,0.6,0.2199,0.0833,0.1136
"JWPL-43","randoop",7,100.2,0,0,0,0
"JWPL-44","randoop",7,100.2,0,0,0,0
"JWPL-45","randoop",7,100.2,0,0,0,0
"JWPL-46","randoop",7,100.2,0,0,0,0
"JWPL-47","randoop",7,100.2,0,0,0,0
"JWPL-48","randoop",7,103.2,10.8,0.5864,0.625,0.8571
"JWPL-49","randoop",7,100.2,0,0,0,0
"ECLIPSECS-50","randoop",7,100.2,0,0,0,0
"ECLIPSECS-51","randoop",7,100.2,0,0,0,0
"ECLIPSECS-52","randoop",7,100.2,0.6,0.0053,0,0
"ECLIPSECS-53","randoop",7,102,6,0.8217,0.6154,0.66
"ECLIPSECS-54","randoop",7,100.2,0,0,0,0
"ECLIPSECS-55","randoop",7,100.2,0,0,0,0
"ECLIPSECS-56","randoop",7,100.8,0.6,0.5425,0.6154,0.619
"JMLL-57","randoop",7,100.2,0,0,0,0
"JMLL-58","randoop",7,100.8,0.6,1,0,0.9355
"JMLL-59","randoop",7,101.4,0,0,0,0
"JMLL-60","randoop",7,101.4,1.2,0.9457,0.875,0
"JMLL-61","randoop",7,100.2,0,0,0,0
"JMLL-62","randoop",7,101.4,1.2,0.9488,0.75,0
"JMLL-63","randoop",7,100.2,0.6,0.0254,0,0
"HIBERNATE-1","evosuite",7,193.8,0,0,0,0
"HIBERNATE-2","evosuite",7,224.4,0.6,0.6,0,0
"HIBERNATE-3","evosuite",7,271.8,1.2,0.2771,0.0625,0.4095
"HIBERNATE-4","evosuite",7,193.2,1.8,0.8974,1,0.75
"HIBERNATE-5","evosuite",7,193.2,1.8,0.8974,1,0.75
"HIBERNATE-6","evosuite",7,465,0.6,0.1741,0,0
"HIBERNATE-7","evosuite",7,223.8,0.6,0.875,0,0.3333
"SCRIBE-8","evosuite",7,192.6,3,0.9114,1,1
"SCRIBE-9","evosuite",7,189,1.8,1,1,0.8
"SCRIBE-10","evosuite",7,191.4,3.6,0.996,0.9683,0.8199
"SCRIBE-11","evosuite",7,191.4,6.6,0.6445,0.4091,0.3721
"SCRIBE-12","evosuite",7,188.4,0.6,0.0177,0,0
"SCRIBE-13","evosuite",7,190.2,4.8,1,0.9464,0.9091
"SCRIBE-14","evosuite",7,187.8,0.6,1,0,0.5
"TWITTER4J-15","evosuite",7,196.2,4.2,0.983,0.9127,0.6
"TWITTER4J-16","evosuite",7,198,10.8,1,0.9583,0.8186
"TWITTER4J-17","evosuite",7,198,10.2,0.9547,0.8836,0.5714
"TWITTER4J-18","evosuite",7,194.4,8.4,0.9391,0.9127,0.6876
"TWITTER4J-19","evosuite",7,403.8,2.4,0.0916,0.0616,0.0354
"TWITTER4J-20","evosuite",7,204,14.4,0.7815,0.7012,0.1756
"TWITTER4J-21","evosuite",7,165,3.6,0.0111,0.039,0.0036
"ASYNCHTTP-22","evosuite",7,541.2,0,0,0,0
"ASYNCHTTP-23","evosuite",7,522.6,6.6,0.3976,0.2762,0.3234
"ASYNCHTTP-24","evosuite",7,201,14.4,0.7462,0.6725,0.6869
"ASYNCHTTP-25","evosuite",7,198.6,14.4,0.7277,0.6711,0.6595
"ASYNCHTTP-26","evosuite",7,205.8,16.8,0.9298,0.6465,0.7009
"ASYNCHTTP-27","evosuite",7,515.4,5.4,0.2376,0.2131,0.1683
"ASYNCHTTP-28","evosuite",7,162,0,0,0,0
"GDATA-29","evosuite",7,207,13.2,0.859,0.8049,0.5907
"GDATA-30","evosuite",7,198,11.4,0.7897,0.6755,0.5659
"GDATA-31","evosuite",7,201.6,3.6,0.5331,0.4383,0.4627
"GDATA-32","evosuite",7,227.4,10.2,0.6298,0.5946,0.3643
"GDATA-33","evosuite",7,262.2,5.4,0.4685,0.3701,0.3607
"GDATA-34","evosuite",7,247.8,9,0.8355,0.8112,0.6726
"GDATA-35","evosuite",7,208.2,13.8,0.4259,0.3084,0.3304
"GUAVA-36","evosuite",7,417.6,4.2,0.7086,0.65,0.4773
"GUAVA-37","evosuite",7,198,5.4,0.844,0.9006,0.772
"GUAVA-38","evosuite",7,194.4,7.2,0.962,0.7937,0.9614
"GUAVA-39","evosuite",7,198.6,7.8,0.3699,0.1935,0.2263
"GUAVA-40","evosuite",7,193.2,1.2,0.5577,0.3077,0.2679
"GUAVA-41","evosuite",7,194.4,6.6,0.9374,0.8791,0.8289
"GUAVA-42","evosuite",7,190.8,2.4,0.3003,0.2143,0.276
"JWPL-43","evosuite",7,190.8,0.6,0.0824,0,0
"JWPL-44","evosuite",7,185.4,0.6,0.2141,0.2071,0.2773
"JWPL-45","evosuite",7,168.6,0.6,0.0064,0.02,0.019
"JWPL-46","evosuite",7,188.4,3,0.4655,0.4082,0.3423
"JWPL-47","evosuite",7,157.2,1.8,0.1493,0.0731,0
"JWPL-48","evosuite",7,189.6,1.8,0.7601,0.7679,0.9286
"JWPL-49","evosuite",7,191.4,4.2,0.1078,0.1029,0.1258
"ECLIPSECS-50","evosuite",7,198,0.6,0.77,0.5,0.1857
"ECLIPSECS-51","evosuite",7,194.4,6,0.5811,0.5429,0.4675
"ECLIPSECS-52","evosuite",7,267,1.2,0.4945,0.2959,0.1329
"ECLIPSECS-53","evosuite",7,201,6,0.5957,0.533,0.5029
"ECLIPSECS-54","evosuite",7,205.8,5.4,0.4853,0.456,0.5593
"ECLIPSECS-55","evosuite",7,369,2.4,0.4873,0.3329,0.1007
"ECLIPSECS-56","evosuite",7,209.4,7.8,0.5575,0.7802,0.6531
"JMLL-57","evosuite",7,221.4,4.8,0.8706,0.6786,0.6808
"JMLL-58","evosuite",7,190.8,4.8,1,0,0.4793
"JMLL-59","evosuite",7,198,6,0.9504,0.9714,0.606
"JMLL-60","evosuite",7,244.2,9,0.9884,0.9866,0.7673
"JMLL-61","evosuite",7,195.6,9.6,0.8756,0.8286,0.8036
"JMLL-62","evosuite",7,199.2,9.6,0.9817,0.875,0.729
"JMLL-63","evosuite",7,189,0.6,0,0,0
"HIBERNATE-1","t3",7,14.4,39.6,1,0,0
"HIBERNATE-2","t3",7,1.8,9.6,0.7,0,0
